de.fr,1,2,3,4,5,6,7
1,0.04,0.041666666666666664,0.2857142857142857,0.0,0.037037037037037035,0.0,0.0
2,0.05263157894736842,0.05555555555555555,0.05,0.07692307692307693,0.0,0.06666666666666667,0.0
3,0.0,0.0,0.0,0.0,0.21052631578947367,0.0,0.043478260869565216
4,0.0625,0.06666666666666667,0.058823529411764705,0.0,0.05555555555555555,0.0,0.05263157894736842
5,0.0,0.0,0.0,0.0,0.047619047619047616,0.06666666666666667,0.15
6,0.0,0.0,0.037037037037037035,0.0,0.0,0.045454545454545456,0.2
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.11764705882352941,0.05,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545456
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.07407407407407407,0.0,0.0
14,0.04,0.0,0.0,0.0,0.07692307692307693,0.0,0.0
15,0.058823529411764705,0.0625,0.05555555555555555,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.047619047619047616,0.05,0.045454545454545456,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.125,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.06666666666666667,0.03333333333333333,0.1,0.0,0.0,0.0,0.029411764705882353
23,0.0,0.0,0.0,0.125,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664
27,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0625,0.0,0.0,0.0,0.0,0.0,0.0
29,0.15,0.047619047619047616,0.0,0.0,0.0,0.05555555555555555,0.0
30,0.1111111111111111,0.05555555555555555,0.05,0.0,0.0,0.06666666666666667,0.0
31,0.0625,0.06666666666666667,0.058823529411764705,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.0
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0
