de.fr,1,2,3,4,5,6,7
1,0.06933752452815364,0.08006407690254358,0.44474958999666075,0.0,0.0716114874039433,0.0,0.0
2,0.0944911182523068,0.1091089451179962,0.10101525445522107,0.14285714285714285,0.0,0.1259881576697424,0.0
3,0.0,0.0,0.0,0.0,0.3892494720807615,0.0,0.07537783614444091
4,0.125,0.14433756729740646,0.1336306209562122,0.0,0.12909944487358055,0.0,0.125
5,0.0,0.0,0.0,0.0,0.0975900072948533,0.1259881576697424,0.2834733547569204
6,0.0,0.0,0.07142857142857142,0.0,0.0,0.0890870806374748,0.33407655239053047
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.2182178902359924,0.10101525445522107,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0944911182523068
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.12524485821702988,0.0,0.0
14,0.1386750490563073,0.0,0.0,0.0,0.1432229748078866,0.0,0.0
15,0.11180339887498948,0.12909944487358055,0.11952286093343936,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.08333333333333333,0.09622504486493763,0.0890870806374748,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.29814239699997197,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.1720618004029213,0.06622661785325219,0.18394180184548972,0.0,0.0,0.0,0.057353933467640436
23,0.0,0.0,0.0,0.26726124191242434,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333
27,0.0944911182523068,0.0,0.0,0.0,0.0,0.0,0.0
28,0.25,0.0,0.0,0.0,0.0,0.0,0.0
29,0.31622776601683794,0.09128709291752768,0.0,0.0,0.0,0.10540925533894598,0.0
30,0.2834733547569204,0.1091089451179962,0.10101525445522107,0.0,0.0,0.1259881576697424,0.0
31,0.125,0.14433756729740646,0.1336306209562122,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0,0.0816496580927726,0.0,0.0
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,0.0944911182523068,0.0,0.0,0.0,0.0,0.0,0.0
