de.en,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138
1,0.16666666666666666,0.33407655239053047,0.0,0.0,0.0,0.3913118960624632,0.0,0.2672612419124244,0.0,0.0,0.2004459314343183,0.0625,0.236227795630767,0.0,0.0,0.0,0.11470786693528087,0.12909944487358055,0.125,0.0,0.0,0.0,0.0625,0.14433756729740646,0.0,0.17677669529663687,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1563858105428061,0.0360843918243516,0.14433756729740646,0.12126781251816648,0.0,0.0,0.12909944487358055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06741998624632421,0.0,0.07372097807744858,0.16666666666666666,0.11785113019775793,0.0,0.0,0.0,0.10206207261596577,0.0,0.0,0.125,0.1386750490563073,0.0,0.0,0.0,0.0,0.1563858105428061,0.0,0.0,0.17677669529663687,0.0,0.0,0.0,0.16222142113076254,0.09128709291752768,0.0625,0.07216878364870323,0.1091089451179962,0.0,0.053300179088902604,0.05892556509887897,0.0,0.0,0.0,0.0,0.06063390625908324,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.1336306209562122,0.06933752452815364,0.0,0.0,0.0,0.1386750490563073,0.0,0.0,0.0,0.12126781251816648,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.2182178902359924,0.0,0.0,0.07537783614444091,0.0944911182523068,0.0,0.04003203845127178,0.11572751247156893,0.0,0.13018891098082389,0.0,0.0,0.0,0.14433756729740646,0.0,0.0,0.0,0.0,0.15990053726670783,0.0,0.051031036307982884
2,0.0,0.2672612419124244,0.0,0.0,0.0,0.11180339887498948,0.0,0.1336306209562122,0.0,0.0,0.0,0.0,0.0,0.17677669529663687,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.07808688094430305,0.0,0.0,0.0,0.10425720702853739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10660035817780521,0.0,0.1386750490563073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2886751345948129,0.0,0.0,0.35355339059327373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.1111111111111111,0.0890870806374748,0.0,0.0,0.23570226039551584,0.14907119849998599,0.0,0.0890870806374748,0.0,0.0,0.1781741612749496,0.16666666666666666,0.1259881576697424,0.0,0.0,0.0,0.07647191129018724,0.2581988897471611,0.0,0.0,0.0,0.0,0.25,0.09622504486493763,0.0,0.1178511301977579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06950480468569159,0.0962250448649376,0.09622504486493763,0.08084520834544433,0.0,0.0,0.08606629658238703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07647191129018724,0.050251890762960605,0.0,0.044946657497549475,0.0,0.04914731871829905,0.2222222222222222,0.07856742013183861,0.0,0.0,0.0,0.06804138174397717,0.0,0.0,0.08333333333333333,0.09245003270420486,0.0,0.0,0.0,0.0,0.13900960937138318,0.0,0.0,0.1178511301977579,0.0,0.0,0.0,0.10814761408717503,0.06085806194501846,0.16666666666666666,0.19245008972987526,0.07273929674533079,0.0,0.1421338109037403,0.15713484026367722,0.0,0.0,0.14907119849998599,0.0,0.16169041669088866,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0890870806374748,0.18490006540840973,0.0,0.0,0.0,0.09245003270420486,0.31622776601683794,0.0,0.0,0.08084520834544433,0.0,0.0,0.0,0.0,0.2721655269759087,0.0,0.08333333333333333,0.0,0.0,0.14547859349066158,0.0,0.0,0.10050378152592121,0.1259881576697424,0.0,0.053376051268362375,0.1543033499620919,0.0,0.08679260732054925,0.0,0.0,0.0,0.09622504486493763,0.0,0.0,0.0,0.0,0.1421338109037403,0.0,0.06804138174397717
5,0.08333333333333333,0.0,0.0,0.19364916731037085,0.0,0.0,0.14433756729740646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09128709291752768,0.0,0.057353933467640436,0.06454972243679027,0.0,0.0,0.0,0.08838834764831843,0.0,0.0,0.08838834764831843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.07216878364870323,0.30316953129541624,0.0,0.0,0.06454972243679027,0.057353933467640436,0.0,0.0,0.0,0.0,0.0,0.0668153104781061,0.0,0.0,0.0,0.07293249574894727,0.0,0.051031036307982884,0.0,0.0,0.0,0.0,0.0,0.0,0.051031036307982884,0.0,0.0,0.0,0.06933752452815364,0.0,0.0,0.10206207261596577,0.0,0.05212860351426869,0.0,0.08838834764831843,0.0,0.11180339887498948,0.0,0.08333333333333333,0.0,0.04564354645876384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07216878364870323,0.0,0.0625,0.10206207261596577,0.06454972243679027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06933752452815364,0.0,0.0944911182523068,0.0,0.0,0.0,0.0944911182523068,0.0,0.0,0.0,0.0,0.125,0.08838834764831843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04003203845127178,0.0,0.0,0.0,0.0,0.0,0.07905694150420949,0.0,0.0,0.0,0.08838834764831843,0.0,0.0,0.0,0.0
6,0.07106690545187015,0.0,0.0,0.05504818825631802,0.0,0.0,0.24618298195866545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0778498944161523,0.053300179088902604,0.09782319760890368,0.0,0.0,0.2090605025017727,0.0,0.0,0.0,0.0,0.0753778361444409,0.1507556722888818,0.0,0.0,0.0,0.0,0.046524210519923545,0.03329635791060134,0.0,0.0,0.0,0.0,0.18463723646899904,0.0,0.051708768999501914,0.0,0.0,0.05504818825631802,0.09782319760890368,0.0,0.0,0.0,0.05698028822981897,0.0,0.05698028822981897,0.0,0.0,0.03214121732666126,0.06219704135711228,0.0,0.0,0.0,0.0,0.0,0.053300179088902604,0.0,0.050251890762960605,0.0,0.1709408646894569,0.0,0.053300179088902604,0.0,0.0,0.0,0.08703882797784893,0.0,0.1333662673423161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09534625892455921,0.051708768999501914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07106690545187015,0.08058229640253803,0.0,0.0,0.0,0.0,0.053300179088902604,0.0753778361444409,0.0,0.0,0.0,0.0,0.12856486930664499,0.08058229640253803,0.05698028822981897,0.10241831129983783,0.0657951694959769,0.0,0.027756369082668444,0.0,0.06428243465332249,0.0,0.0,0.0,0.0,0.0753778361444409,0.0,0.045454545454545456,0.06154574548966636,0.0
7,0.0629940788348712,0.050507627227610534,0.0,0.0,0.0,0.08451542547285164,0.1636634176769943,0.10101525445522107,0.07715167498104596,0.0,0.15152288168283162,0.0472455591261534,0.07142857142857142,0.0,0.13801311186847084,0.1889822365046136,0.08671099695241198,0.24397501823713327,0.0,0.22237479499833035,0.030261376633440116,0.0,0.1417366773784602,0.0545544725589981,0.0,0.20044593143431827,0.0629940788348712,0.0629940788348712,0.08451542547285164,0.0,0.041239304942116126,0.029514066805047763,0.03779644730092272,0.0,0.0,0.07881104062391006,0.21821789023599233,0.1091089451179962,0.04583492485141056,0.07142857142857142,0.0,0.14638501094227996,0.13006649542861798,0.050507627227610534,0.0,0.0,0.050507627227610534,0.050507627227610534,0.10101525445522107,0.04583492485141056,0.04335549847620599,0.0,0.11026356928399424,0.025482359571881275,0.07715167498104596,0.027863910628767644,0.0629940788348712,0.0445435403187374,0.0472455591261534,0.0,0.0445435403187374,0.03857583749052298,0.10101525445522107,0.0,0.1417366773784602,0.052414241836095915,0.052414241836095915,0.0,0.1543033499620919,0.0629940788348712,0.15762208124782012,0.0,0.0,0.06681531047810609,0.0,0.0,0.0,0.06131393394849658,0.03450327796711771,0.0944911182523068,0.1091089451179962,0.041239304942116126,0.0,0.12087344460380704,0.1336306209562122,0.0,0.0,0.0,0.12677313820927746,0.09166984970282112,0.0545544725589981,0.0,0.0472455591261534,0.0,0.04879500364742665,0.0,0.0,0.0,0.050507627227610534,0.052414241836095915,0.0,0.0,0.0,0.052414241836095915,0.0,0.0,0.0,0.09166984970282112,0.0,0.0,0.0,0.0,0.0,0.0,0.1417366773784602,0.20044593143431827,0.0,0.08247860988423225,0.0,0.0,0.1709408646894569,0.14285714285714285,0.050507627227610534,0.1513068831672006,0.14580296087995107,0.0,0.07381017469576844,0.0,0.0,0.0,0.0545544725589981,0.0,0.0,0.13363062095621217,0.05976143046671968,0.12087344460380704,0.0545544725589981,0.07715167498104596
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12171612389003691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10411584125907071,0.06666666666666667,0.0,0.1111111111111111,0.06950480468569159,0.0,0.0,0.0,0.0,0.0,0.08606629658238703,0.15294382258037448,0.1781741612749496,0.0,0.0,0.0890870806374748,0.0890870806374748,0.0890870806374748,0.0,0.0,0.050251890762960605,0.14586499149789456,0.0,0.0,0.0,0.0,0.0,0.0,0.06950480468569159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13608276348795434,0.0,0.06950480468569159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.1178511301977579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053376051268362375,0.0,0.0,0.0,0.0,0.10050378152592121,0.0,0.0,0.0,0.0,0.1178511301977579,0.0,0.0,0.0,0.0
9,0.07273929674533079,0.058321184351980436,0.0,0.0,0.0,0.09759000729485333,0.0,0.058321184351980436,0.0,0.0,0.11664236870396087,0.0545544725589981,0.08247860988423225,0.3086066999241838,0.0,0.0,0.05006261743217588,0.1690308509457033,0.0,0.0,0.0,0.0,0.1091089451179962,0.18898223650461363,0.0,0.07715167498104596,0.0,0.07273929674533079,0.0,0.08908708063747481,0.09523809523809523,0.0681598176590997,0.08728715609439695,0.1973855084879307,0.07273929674533079,0.04550157551932901,0.0629940788348712,0.12598815766974242,0.05292561240249631,0.0,0.0,0.0563436169819011,0.0,0.17496355305594133,0.0,0.0,0.0,0.0,0.0,0.10585122480499262,0.05006261743217588,0.09869275424396538,0.09549105211188454,0.058848988633649964,0.0,0.03217447260438935,0.07273929674533079,0.051434449987363975,0.1091089451179962,0.0,0.0,0.044543540318737404,0.0,0.0,0.0545544725589981,0.060522753266880246,0.0,0.0,0.0,0.0,0.09100315103865803,0.07715167498104596,0.0,0.07715167498104596,0.0,0.0,0.0,0.07079923254047887,0.03984095364447979,0.1091089451179962,0.12598815766974242,0.047619047619047616,0.1126872339638022,0.09304842103984709,0.2571722499368199,0.1543033499620919,0.0,0.0,0.048795003647426664,0.15877683720748895,0.0,0.0,0.0545544725589981,0.0,0.0,0.0,0.0,0.0,0.058321184351980436,0.060522753266880246,0.0,0.0,0.0,0.060522753266880246,0.0,0.0,0.0,0.10585122480499262,0.0,0.0,0.0,0.0,0.0,0.0,0.0545544725589981,0.0,0.0,0.09523809523809523,0.0,0.0,0.0657951694959769,0.08247860988423225,0.0,0.06988565578146122,0.10101525445522108,0.0,0.056819098972713616,0.0,0.0,0.0,0.06299407883487121,0.0,0.0,0.0,0.0,0.09304842103984709,0.0,0.044543540318737404
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19364916731037085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27386127875258304,0.16222142113076252,0.0,0.0,0.1889822365046136,0.0,0.1889822365046136,0.0944911182523068,0.0,0.0,0.053300179088902604,0.15471318693881897,0.19069251784911848,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08838834764831843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21320071635561041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10206207261596574,0.0
