de.en,1,2,3,4,5,6,7,8,9,10,11
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.3912927904356147,0.0,0.08111071056538126,0.0,0.06917144638660747,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.3061862178478973,0.0,0.0,0.12309149097933275,0.0,0.0,0.08703882797784893,0.0,0.0
7,0.0,0.0,0.5303300858899106,0.24999999999999994,0.14433756729740646,0.21320071635561041,0.0,0.10660035817780521,0.1507556722888818,0.0,0.0
8,0.0,0.0,0.25,0.35355339059327373,0.20412414523193154,0.15075567228888181,0.0,0.0,0.21320071635561041,0.0,0.0
9,0.0,0.0,0.14433756729740646,0.0,0.23570226039551587,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0944911182523068,0.0,0.1543033499620919,0.3418817293789138,0.1259881576697424,0.2279211529192759,0.3223291856101521,0.0,0.0
11,0.0,0.046524210519923545,0.1091089451179962,0.23145502494313785,0.0,0.3289758474798845,0.5091750772173156,0.3947710169758614,0.27914526311954124,0.0,0.0
12,0.0,0.0,0.0668153104781061,0.0944911182523068,0.1091089451179962,0.24174688920761409,0.2672612419124244,0.16116459280507606,0.6837634587578276,0.0,0.0
