fr.en,1,2,3,4,5,6,7,8,9,10,11
1,0.5539117094069973,0.2886751345948129,0.2182178902359924,0.09245003270420486,0.0,0.1423736993628749,0.0,0.0,0.0,0.09759000729485333,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.385694607919935,0.30151134457776363,0.5698028822981898,0.2414022747926338,0.0,0.29740895825796587,0.0,0.0,0.0,0.20385887657505022,0.0
4,0.0,0.0,0.0,0.4151682458530185,0.0,0.07749842582921287,0.0,0.0,0.0,0.03984095364447979,0.0
5,0.08058229640253803,0.1889822365046136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06388765649999399,0.0
6,0.3302891295379081,0.12909944487358055,0.0975900072948533,0.0826898230594723,0.0,0.1273429079934027,0.0,0.0,0.0,0.08728715609439694,0.0
7,0.20100756305184242,0.11785113019775793,0.2672612419124244,0.15097027121927944,0.0,0.11624763874381931,0.0,0.0,0.0,0.07968190728895957,0.0
8,0.3111879571320709,0.10425720702853739,0.07881104062391006,0.06677805632941779,0.0,0.10283867552865918,0.0,0.0,0.0,0.1409814753700483,0.0
9,0.26650089544451305,0.125,0.0944911182523068,0.12009611535381534,0.0,0.123299240479018,0.0,0.0,0.0,0.08451542547285165,0.0
10,0.38138503569823684,0.22360679774997896,0.16903085094570328,0.14322297480788657,0.0,0.22056438662814237,0.0,0.0,0.0,0.15118578920369088,0.0
11,0.05504818825631802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.1348399724926484,0.0,0.0,0.0,0.0,0.05198752449100364,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.3015113445777636,0.17677669529663687,0.13363062095621217,0.11322770341445956,0.0,0.17437145811572896,0.0,0.0,0.0,0.17928429140015903,0.0
15,0.18844459036110225,0.08838834764831843,0.20044593143431827,0.08492077756084468,0.0,0.08718572905786448,0.0,0.0,0.0,0.05976143046671968,0.0
16,0.11826247919781652,0.1386750490563073,0.10482848367219183,0.0,0.0,0.0,0.0,0.0,0.0,0.04688072309384954,0.0
17,0.26111648393354675,0.20412414523193154,0.1543033499620919,0.1307440900921227,0.0,0.20134681656420733,0.0,0.0,0.0,0.13801311186847084,0.0
18,0.3892494720807615,0.18257418583505536,0.2760262237369417,0.14617633655117152,0.0,0.18009006755629928,0.0,0.0,0.0,0.12344267996967351,0.0
19,0.0,0.0,0.0,0.0,0.0,0.06711560552140244,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.18257418583505536,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.15097027121927944,0.0,0.0,0.0,0.0,0.0,0.0,0.0890870806374748
22,0.0,0.0,0.0,0.3202563076101742,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.15191090506254998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.09491579957524993,0.0,0.0,0.0,0.0,0.0
25,0.28603877677367767,0.22360679774997896,0.16903085094570328,0.14322297480788657,0.0,0.22056438662814237,0.0,0.0,0.0,0.15118578920369088,0.0
26,0.050251890762960605,0.11785113019775793,0.0,0.3396831102433787,0.0,0.11624763874381931,0.0,0.0,0.0,0.03984095364447979,0.0
27,0.0,0.0,0.0,0.053376051268362375,0.1178511301977579,0.0,0.0,0.0,0.0,0.0563436169819011,0.0
28,0.10660035817780521,0.0,0.0,0.08006407690254357,0.35355339059327373,0.16439898730535732,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.11180339887498948,0.20795009796401456,0.0,0.0,0.0,0.0,0.0
30,0.1846372364689991,0.14433756729740646,0.1091089451179962,0.09245003270420486,0.0,0.2372894989381248,0.0,0.09622504486493763,0.0,0.14638501094227999,0.0
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.10050378152592121,0.0,0.0
32,0.0,0.0,0.0,0.11102889792108189,0.0,0.022798037629377668,0.24806946917841693,0.09245003270420486,0.08362420100070908,0.1640825308284734,0.0
33,0.0,0.0,0.0,0.08006407690254357,0.17677669529663687,0.0,0.0,0.0,0.0,0.0,0.0
34,0.22727272727272727,0.21320071635561041,0.08058229640253803,0.06827887419989188,0.0,0.10514994558491725,0.0,0.1421338109037403,0.06428243465332249,0.1801874925391118,0.48349377841522817
