fr.en,1,2,3,4,5,6,7,8,9,10,11
1,0.3684210526315789,0.14285714285714285,0.11764705882352941,0.024390243902439025,0.0,0.029411764705882353,0.0,0.0,0.0,0.023255813953488372,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.047619047619047616,0.09090909090909091,0.36363636363636365,0.05555555555555555,0.0,0.03333333333333333,0.0,0.0,0.0,0.02564102564102564,0.0
4,0.0,0.0,0.0,0.23076923076923078,0.0,0.025,0.0,0.0,0.0,0.02040816326530612,0.0
5,0.05,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02631578947368421,0.0
6,0.16,0.05555555555555555,0.047619047619047616,0.022727272727272728,0.0,0.02702702702702703,0.0,0.0,0.0,0.021739130434782608,0.0
7,0.06666666666666667,0.047619047619047616,0.13636363636363635,0.06666666666666667,0.0,0.025,0.0,0.0,0.0,0.02040816326530612,0.0
8,0.14814814814814814,0.05,0.043478260869565216,0.021739130434782608,0.0,0.02564102564102564,0.0,0.0,0.0,0.0425531914893617,0.0
9,0.1111111111111111,0.05263157894736842,0.045454545454545456,0.045454545454545456,0.0,0.02631578947368421,0.0,0.0,0.0,0.02127659574468085,0.0
10,0.11764705882352941,0.125,0.09090909090909091,0.029411764705882353,0.0,0.037037037037037035,0.0,0.0,0.0,0.027777777777777776,0.0
11,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.05,0.0,0.0,0.0,0.0,0.034482758620689655,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.1,0.09090909090909091,0.07142857142857142,0.02702702702702703,0.0,0.03333333333333333,0.0,0.0,0.0,0.05263157894736842,0.0
15,0.05263157894736842,0.034482758620689655,0.1,0.037037037037037035,0.0,0.020833333333333332,0.0,0.0,0.0,0.017543859649122806,0.0
16,0.08,0.0625,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.022727272727272728,0.0
17,0.05263157894736842,0.1111111111111111,0.08333333333333333,0.02857142857142857,0.0,0.03571428571428571,0.0,0.0,0.0,0.02702702702702703,0.0
18,0.11764705882352941,0.037037037037037035,0.10714285714285714,0.038461538461538464,0.0,0.021739130434782608,0.0,0.0,0.0,0.01818181818181818,0.0
19,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664
22,0.0,0.0,0.0,0.14705882352941177,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0
25,0.05555555555555555,0.125,0.09090909090909091,0.029411764705882353,0.0,0.037037037037037035,0.0,0.0,0.0,0.027777777777777776,0.0
26,0.03225806451612903,0.047619047619047616,0.0,0.2,0.0,0.07894736842105263,0.0,0.0,0.0,0.02040816326530612,0.0
27,0.0,0.0,0.0,0.02631578947368421,0.0625,0.0,0.0,0.0,0.0,0.025,0.0
28,0.058823529411764705,0.0,0.0,0.030303030303030304,0.2,0.038461538461538464,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.058823529411764705,0.1,0.0,0.0,0.0,0.0,0.0
30,0.04,0.06666666666666667,0.05555555555555555,0.024390243902439025,0.0,0.09375,0.0,0.05,0.0,0.047619047619047616,0.0
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.05263157894736842,0.0,0.0
32,0.0,0.0,0.0,0.05555555555555555,0.0,0.014705882352941176,0.0851063829787234,0.018518518518518517,0.03636363636363636,0.0684931506849315,0.0
33,0.0,0.0,0.0,0.030303030303030304,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0
34,0.1,0.09523809523809523,0.04,0.020833333333333332,0.0,0.024390243902439025,0.0,0.037037037037037035,0.034482758620689655,0.0851063829787234,0.3
