it.en,1,2,3
1,0.3302891295379081,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.2932942300427066
4,0.0,0.0,0.0
5,0.0,0.5477225575051661,0.0
6,0.0,0.0,0.0
