it.fr,1,2,3,4,5
1,0.428845013935118,0.0,0.0545544725589981,0.10540925533894598,0.0
2,0.28365431446558775,0.0,0.041239304942116126,0.15936381457791915,0.0
3,0.28365431446558775,0.0,0.08247860988423225,0.15936381457791915,0.0
4,0.0,0.0,0.0,0.0,0.0
5,0.13793103448275865,0.0,0.07018624063435965,0.06780635036208105,0.0
6,0.04794633014853841,0.0,0.0,0.0,0.0
7,0.12456821978060995,0.0,0.04225771273642582,0.0408248290463863,0.0
8,0.0,0.0,0.0,0.0,0.0
9,0.29777500019127906,0.0,0.1515228816828316,0.14638501094227996,0.0
10,0.1072112534837795,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0
12,0.061898446059017294,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.06900655593423542,0.0
14,0.23973165074269207,0.0,0.0975900072948533,0.09428090415820634,0.0
15,0.19795189561622398,0.0,0.040291148201269014,0.0778498944161523,0.0
16,0.08304547985373997,0.0,0.0,0.0,0.0
17,0.19695964928958382,0.0,0.0,0.06454972243679027,0.0
18,0.24313226954193234,0.0,0.08247860988423225,0.07968190728895957,0.0
19,0.17507524381296344,0.0,0.1336306209562122,0.17213259316477408,0.0
20,0.04794633014853841,0.0,0.04879500364742665,0.0,0.0
21,0.0,0.0,0.08451542547285164,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0
23,0.13130643285972254,0.0,0.06681531047810609,0.12909944487358055,0.0
24,0.0395903791232448,0.0,0.0,0.03892494720807615,0.0
25,0.1403724812687193,0.0,0.07142857142857142,0.06900655593423542,0.0
26,0.30901572157476287,0.0,0.10482848367219183,0.25318484177091666,0.0
27,0.041522739926869986,0.0,0.0,0.0,0.0
28,0.10300524052492097,0.0,0.052414241836095915,0.10127393670836667,0.0
29,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0
31,0.13130643285972254,0.0,0.06681531047810609,0.06454972243679027,0.0
32,0.0,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0,0.0
