it.fr,1,2,3,4,5,6
1,0.25993762245501817,0.2066885083751224,0.07352146220938077,0.19374606457303217,0.0,0.0
2,0.07071067811865474,0.08032193289024987,0.0,0.10540925533894598,0.0,0.0
3,0.0,0.10830607221477646,0.0,0.0,0.0,0.0
4,0.1651445647689541,0.25012215979228897,0.0,0.12309149097933274,0.0,0.0
5,0.1690308509457033,0.1440046082211958,0.11952286093343936,0.12598815766974242,0.0,0.061313933948496574
6,0.21516574145596762,0.21997067253203,0.0,0.2566001196398338,0.029012942659282986,0.0
7,0.04822428221704121,0.0,0.06819943394704735,0.1437770309379179,0.19507682662870654,0.34985571427065976
8,0.0,0.0,0.0,0.0,0.0,0.0
9,0.1951800145897066,0.13856849886842332,0.0,0.1454785934906616,0.03289758474798845,0.0
10,0.0,0.02993421700446248,0.0,0.039283710065919304,0.0,0.0
11,0.0,0.0,0.0,0.03774256780481986,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0
13,0.07453559924999299,0.0,0.0,0.22222222222222227,0.10050378152592121,0.05407380704358752
14,0.0,0.0,0.0,0.06085806194501846,0.0,0.05923488777590923
15,0.0,0.0,0.0,0.0,0.0,0.0512989176042577
16,0.29814239699997197,0.1270001270001905,0.0,0.22222222222222227,0.20100756305184242,0.16222142113076254
