it.fr,1,2,3,4,5,6
1,0.1282051282051282,0.13333333333333333,0.02631578947368421,0.10638297872340426,0.0,0.0
2,0.043478260869565216,0.03333333333333333,0.0,0.06666666666666667,0.0,0.0
3,0.0,0.037037037037037035,0.0,0.0,0.0,0.0
4,0.05263157894736842,0.09302325581395349,0.0,0.043478260869565216,0.0,0.0
5,0.09090909090909091,0.06896551724137931,0.05555555555555555,0.06666666666666667,0.0,0.038461538461538464
6,0.06382978723404255,0.05555555555555555,0.0,0.09433962264150944,0.01818181818181818,0.0
7,0.02040816326530612,0.0,0.022727272727272728,0.07407407407407407,0.09803921568627451,0.20454545454545456
8,0.0,0.0,0.0,0.0,0.0,0.0
9,0.075,0.06382978723404255,0.0,0.0851063829787234,0.020833333333333332,0.0
10,0.0,0.02040816326530612,0.0,0.02,0.0,0.0
11,0.0,0.0,0.0,0.017857142857142856,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0
13,0.037037037037037035,0.0,0.0,0.125,0.0625,0.03333333333333333
14,0.0,0.0,0.0,0.03125,0.0,0.037037037037037035
15,0.0,0.0,0.0,0.0,0.0,0.03125
16,0.16666666666666666,0.06060606060606061,0.0,0.125,0.0967741935483871,0.06896551724137931
