de.it,1,2,3
1,0.06451612903225806,0.08108108108108109,0.0
2,0.015873015873015872,0.0,0.0
3,0.06666666666666667,0.0,0.0
4,0.0,0.0,0.0
5,0.027777777777777776,0.0,0.0
6,0.06557377049180328,0.08333333333333333,0.0
7,0.015625,0.11428571428571428,0.0
8,0.015384615384615385,0.0,0.0
9,0.04477611940298507,0.07317073170731707,0.0
10,0.013513513513513514,0.0425531914893617,0.0
11,0.0,0.025,0.047619047619047616
12,0.06779661016949153,0.05714285714285714,0.0
13,0.06060606060606061,0.023255813953488372,0.0
14,0.0,0.0,0.0
15,0.08928571428571429,0.0,0.0
16,0.016666666666666666,0.0,0.0
17,0.0,0.0,0.0
18,0.01639344262295082,0.0,0.0
19,0.03278688524590164,0.0,0.0
20,0.014492753623188406,0.023255813953488372,0.0
21,0.03278688524590164,0.027777777777777776,0.0
22,0.016129032258064516,0.027777777777777776,0.0
23,0.046153846153846156,0.07692307692307693,0.0
24,0.01639344262295082,0.0,0.0625
25,0.015873015873015872,0.02702702702702703,0.0
26,0.0,0.0,0.06666666666666667
