de.it,1,2,3
1,0.13318543164240537,0.15289415743128767,0.0
2,0.036810508691615514,0.0,0.0
3,0.22086305214969307,0.0,0.0
4,0.0,0.0,0.0
5,0.211896724206605,0.0,0.0
6,0.13968605915391563,0.16035674514745463,0.0
7,0.027607881518711633,0.3380617018914066,0.0
8,0.13318543164240537,0.0,0.0
9,0.07808688094430304,0.11952286093343938,0.0
10,0.024693239916239736,0.07559289460184544,0.0
11,0.0,0.048795003647426664,0.07216878364870323
12,0.15617376188860604,0.11952286093343936,0.0
13,0.17107978455366027,0.04364357804719847,0.0
14,0.0,0.0,0.0
15,0.4057513356003445,0.0,0.0
16,0.045083481733371615,0.0,0.0
17,0.0,0.0,0.0
18,0.04173919355648411,0.0,0.0
19,0.07808688094430302,0.0,0.0
20,0.028513297425610047,0.04364357804719847,0.0
21,0.07808688094430302,0.05976143046671968,0.0
22,0.03904344047215151,0.05976143046671968,0.0
23,0.18376916754950665,0.14064216928154863,0.0
24,0.03492151478847891,0.0,0.07905694150420949
25,0.036810508691615514,0.0563436169819011,0.0
26,0.0,0.0,0.16666666666666666
