it.fr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,0.19047619047619047,0.11538461538461539,0.06521739130434782,0.0,0.0,0.0,0.021739130434782608,0.0392156862745098,0.0,0.02040816326530612,0.0,0.07142857142857142,0.014925373134328358,0.09259259259259259,0.019230769230769232,0.0,0.0,0.10638297872340426,0.0975609756097561,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.04,0.13333333333333333,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06060606060606061,0.0,0.0,0.0,0.0,0.10526315789473684,0.0
4,0.10256410256410256,0.0625,0.05,0.0,0.0,0.0,0.02564102564102564,0.045454545454545456,0.0,0.0,0.0,0.05555555555555555,0.0,0.061224489795918366,0.022222222222222223,0.0,0.0,0.046511627906976744,0.08571428571428572,0.0
5,0.1,0.1111111111111111,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0625,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0625,0.0
6,0.03125,0.05128205128205128,0.03225806451612903,0.0,0.0,0.0,0.0,0.02857142857142857,0.0,0.0,0.0,0.037037037037037035,0.0,0.05,0.0,0.0,0.0,0.09375,0.07692307692307693,0.0
7,0.125,0.08333333333333333,0.13333333333333333,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.08333333333333333,0.0,0.125,0.0,0.0,0.0,0.05263157894736842,0.3,0.0
8,0.11764705882352941,0.08,0.125,0.0,0.0,0.0,0.06666666666666667,0.047619047619047616,0.0,0.0,0.0,0.07692307692307693,0.0,0.12,0.0,0.0,0.0,0.05,0.2727272727272727,0.0
9,0.023255813953488372,0.061224489795918366,0.0,0.05128205128205128,0.07317073170731707,0.0,0.025,0.0,0.02127659574468085,0.0,0.02702702702702703,0.08333333333333333,0.06896551724137931,0.08163265306122448,0.0,0.04878048780487805,0.030303030303030304,0.0,0.02631578947368421,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.05263157894736842,0.0,0.0
