de.fr,1,2,3,4,5,6,7,8,9,10,11,12,13,14
1,0.05572782125753529,0.253546276418555,0.0,0.0,0.0,0.21968738758187342,0.0472455591261534,0.06482037235521644,0.0,0.10101525445522107,0.0,0.0,0.0,0.08451542547285165
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.12909944487358058,0.0,0.0,0.07453559924999299,0.0,0.0,0.09901475429766744,0.0,0.1543033499620919,0.0,0.0,0.0,0.12909944487358058
4,0.0,0.09999999999999998,0.0816496580927726,0.33541019662496846,0.404145188432738,0.10397504898200728,0.0,0.07669649888473704,0.0,0.11952286093343936,0.0,0.0,0.0,0.09999999999999998
5,0.0,0.0,0.0,0.1889822365046136,0.2439750182371333,0.04393747751637469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.2357022603955158,0.3042903097250923,0.0547996624351191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.21213203435596426,0.3286335345030997,0.06575959492214292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.18057877962865385,0.0,0.0,0.0,0.0,0.1898315991504998,0.30618621784789724,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0674199862463242,0.0,0.0,0.0,0.07009996372327816,0.11306675421666135,0.051708768999501914,0.0,0.08058229640253803,0.08122955416108235,0.06428243465332249,0.0,0.0
10,0.044455422447438706,0.0,0.0,0.0,0.0,0.14019992744655632,0.03768891807222045,0.10341753799900383,0.0,0.08058229640253803,0.08122955416108235,0.06428243465332249,0.10660035817780521,0.0674199862463242
11,0.0,0.18257418583505536,0.0,0.0,0.0,0.0,0.0,0.0700140042014005,0.0,0.1091089451179962,0.0,0.0,0.0,0.3651483716701107
