de.fr,1,2,3,4,5,6,7,8,9,10,11,12,13,14
1,0.045454545454545456,0.14285714285714285,0.0,0.0,0.0,0.08333333333333333,0.022222222222222223,0.03333333333333333,0.0,0.05,0.0,0.0,0.0,0.043478260869565216
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.06666666666666667,0.0,0.0,0.047619047619047616,0.0,0.0,0.045454545454545456,0.0,0.08333333333333333,0.0,0.0,0.0,0.06666666666666667
4,0.0,0.05263157894736842,0.05555555555555555,0.2,0.18181818181818182,0.06060606060606061,0.0,0.038461538461538464,0.0,0.0625,0.0,0.0,0.0,0.05263157894736842
5,0.0,0.0,0.0,0.1,0.1111111111111111,0.02631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.13333333333333333,0.13636363636363635,0.030303030303030304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.09090909090909091,0.18518518518518517,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.10526315789473684,0.0,0.0,0.0,0.0,0.05714285714285714,0.15789473684210525,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.03225806451612903,0.0,0.0,0.0,0.021739130434782608,0.058823529411764705,0.02631578947368421,0.0,0.03571428571428571,0.05454545454545454,0.03125,0.0,0.0
10,0.03333333333333333,0.0,0.0,0.0,0.0,0.044444444444444446,0.018867924528301886,0.05405405405405406,0.0,0.03571428571428571,0.05454545454545454,0.03125,0.04,0.03225806451612903
11,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.0,0.05555555555555555,0.0,0.0,0.0,0.2222222222222222
