it.en,1,2,3,4,5,6
1,0.36018013511259855,0.0,0.08219949365267865,0.1508628572809428,0.0,0.0
2,0.3265986323710904,0.0,0.0,0.0512989176042577,0.0,0.0
3,0.11009637651263607,0.0,0.0,0.0,0.0,0.0
4,0.25425669046549126,0.0,0.0,0.11980845957463075,0.0,0.0
5,0.14638501094227999,0.0,0.1336306209562122,0.18394180184548972,0.0,0.08058229640253803
6,0.2981423969999721,0.0,0.0,0.18731716231633885,0.0,0.0
7,0.0,0.0,0.07624928516630233,0.1399422857082639,0.16302782918784448,0.36784039189736234
8,0.0,0.0,0.0,0.0,0.0,0.0
9,0.1690308509457033,0.10910894511799617,0.0,0.07079923254047886,0.041239304942116126,0.0
10,0.03042903097250923,0.05892556509887895,0.0,0.0,0.0,0.0
11,0.0,0.05661385170722978,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.16222142113076254,0.12598815766974242,0.07106690545187015
14,0.0,0.0,0.0,0.05923488777590923,0.0,0.0778498944161523
15,0.0,0.0,0.0,0.0512989176042577,0.0,0.06741998624632421
16,0.12909944487358058,0.0,0.0,0.3244428422615251,0.12598815766974242,0.07106690545187015
