it.en,1,2,3,4,5,6
1,0.13636363636363635,0.0,0.02702702702702703,0.08695652173913043,0.0,0.0
2,0.07142857142857142,0.0,0.0,0.034482758620689655,0.0,0.0
3,0.038461538461538464,0.0,0.0,0.0,0.0,0.0
4,0.09523809523809523,0.0,0.0,0.045454545454545456,0.0,0.0
5,0.07142857142857142,0.0,0.058823529411764705,0.1111111111111111,0.0,0.041666666666666664
6,0.07692307692307693,0.0,0.0,0.07692307692307693,0.0,0.0
7,0.0,0.0,0.023255813953488372,0.07692307692307693,0.08,0.18604651162790697
8,0.0,0.0,0.0,0.0,0.0,0.0
9,0.06521739130434782,0.025,0.0,0.0425531914893617,0.021739130434782608,0.0
10,0.020833333333333332,0.025,0.0,0.0,0.0,0.0
11,0.0,0.021739130434782608,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0967741935483871,0.06666666666666667,0.03571428571428571
14,0.0,0.0,0.0,0.03333333333333333,0.0,0.04
15,0.0,0.0,0.0,0.02857142857142857,0.0,0.03333333333333333
16,0.0625,0.0,0.0,0.1724137931034483,0.06666666666666667,0.03571428571428571
