it.en,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1,0.08,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.08333333333333333,0.0,0.045454545454545456,0.0,0.0,0.0,0.07692307692307693,0.0,0.0
2,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0625,0.0625,0.0625,0.05,0.0,0.15384615384615385,0.0,0.08695652173913043,0.0,0.0,0.0,0.06666666666666667,0.047619047619047616,0.0
4,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.0,0.07692307692307693,0.0,0.043478260869565216,0.0,0.0,0.0,0.07142857142857142,0.0,0.07692307692307693
5,0.0,0.0,0.058823529411764705,0.0,0.0,0.047619047619047616,0.0,0.06666666666666667,0.0,0.04,0.0,0.0,0.0,0.0625,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693
7,0.0,0.0,0.13043478260869565,0.0,0.04,0.034482758620689655,0.0,0.0,0.0,0.030303030303030304,0.0,0.0,0.0,0.0,0.03333333333333333,0.0
8,0.0,0.0,0.04,0.0,0.23809523809523808,0.15384615384615385,0.0,0.09090909090909091,0.05,0.0625,0.0,0.0,0.043478260869565216,0.041666666666666664,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.04878048780487805,0.0,0.0,0.0,0.06896551724137931,0.029411764705882353,0.0,0.11538461538461539,0.0,0.21875,0.07142857142857142,0.0,0.0,0.034482758620689655,0.0,0.0
11,0.0196078431372549,0.0,0.02564102564102564,0.02564102564102564,0.08108108108108109,0.0,0.0,0.02702702702702703,0.0,0.11627906976744186,0.05405405405405406,0.047619047619047616,0.05555555555555555,0.0,0.022727272727272728,0.0
12,0.0,0.0,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.07407407407407407,0.05263157894736842,0.3888888888888889,0.11764705882352941,0.05263157894736842,0.04,0.0
13,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.1875,0.0,0.23809523809523808,0.0
14,0.05555555555555555,0.0,0.04,0.04,0.08333333333333333,0.034482758620689655,0.0,0.043478260869565216,0.0,0.0967741935483871,0.041666666666666664,0.034482758620689655,0.043478260869565216,0.08695652173913043,0.19230769230769232,0.0
15,0.0,0.0,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.08333333333333333,0.1111111111111111,0.0,0.038461538461538464,0.17647058823529413
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
