fr.en,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1,0.40625,0.0,0.06451612903225806,0.0,0.21212121212121213,0.0975609756097561,0.24242424242424243,0.0967741935483871,0.03571428571428571,0.12121212121212122,0.06779661016949153,0.05555555555555555,0.10526315789473684,0.08571428571428572,0.047619047619047616,0.0,0.0,0.09302325581395349,0.07692307692307693
2,0.06896551724137931,0.0,0.05555555555555555,0.0,0.04,0.0,0.0,0.0,0.0,0.09523809523809523,0.0425531914893617,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.1,0.037037037037037035
3,0.13953488372093023,0.0,0.027777777777777776,0.03125,0.047619047619047616,0.020833333333333332,0.0975609756097561,0.15151515151515152,0.05084745762711865,0.1388888888888889,0.13559322033898305,0.10909090909090909,0.045454545454545456,0.0,0.02127659574468085,0.0,0.0,0.0851063829787234,0.09523809523809523
4,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.02702702702702703,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.038461538461538464,0.047619047619047616
5,0.027777777777777776,0.0,0.041666666666666664,0.05,0.0,0.08823529411764706,0.03125,0.0,0.06382978723404255,0.0,0.03773584905660377,0.0,0.030303030303030304,0.07142857142857142,0.058823529411764705,0.0,0.043478260869565216,0.02631578947368421,0.0
6,0.08823529411764706,0.0,0.0,0.0,0.10344827586206896,0.0,0.06451612903225806,0.08333333333333333,0.21951219512195122,0.07407407407407407,0.057692307692307696,0.0425531914893617,0.0625,0.034482758620689655,0.058823529411764705,0.034482758620689655,0.043478260869565216,0.11428571428571428,0.0967741935483871
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.0,0.0,0.0
8,0.05,0.0,0.034482758620689655,0.0,0.05714285714285714,0.024390243902439025,0.02702702702702703,0.06896551724137931,0.057692307692307696,0.0625,0.15384615384615385,0.038461538461538464,0.02631578947368421,0.0,0.07894736842105263,0.0,0.0,0.07317073170731707,0.05405405405405406
9,0.05128205128205128,0.0,0.03571428571428571,0.0,0.02857142857142857,0.0,0.0,0.0,0.038461538461538464,0.17857142857142858,0.09259259259259259,0.019230769230769232,0.0,0.0,0.08108108108108109,0.0,0.037037037037037035,0.075,0.02702702702702703
10,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.06521739130434782,0.0,0.0,0.0,0.07317073170731707,0.0,0.0975609756097561,0.05555555555555555,0.05084745762711865,0.07894736842105263,0.046875,0.5641025641025641,0.045454545454545456,0.0,0.02127659574468085,0.0,0.0,0.04081632653061224,0.06976744186046512
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
