de.it,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12649110640673517,0.0,0.0,0.0,0.0,0.0
2,0.07537783614444091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06030226891555273,0.0,0.0,0.0,0.061545745489666376,0.0
3,0.0,0.0,0.22360679774997896,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
4,0.07216878364870323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05773502691896258,0.0,0.0,0.0,0.05892556509887897,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15339299776947407,0.0,0.12649110640673517,0.11180339887498948,0.0,0.0,0.0,0.0
6,0.07537783614444091,0.0,0.0,0.0,0.0,0.0,0.0,0.14625448482542613,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.09901475429766744,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.06454972243679027,0.0,0.0,0.0,0.0,0.0700140042014005,0.06019292654288461,0.17320508075688776,0.20412414523193148,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.04152273992686998,0.0,0.0,0.0,0.0,0.0,0.038720154633118314,0.22283440581246222,0.0,0.0,0.0,0.0,0.0
11,0.0625,0.0,0.0,0.07216878364870323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.1025978352085154,0.06622661785325219,0.0,0.0,0.0,0.0,0.047836487323493986,0.0917662935482247,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14433756729740646,0.0
14,0.0,0.0,0.062017367294604234,0.08006407690254358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056613851707229795,0.0
15,0.0,0.0,0.14907119849998599,0.0,0.0,0.0,0.0,0.08084520834544433,0.06950480468569159,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.1432229748078866,0.10540925533894598,0.2864459496157732,0.06262242910851494,0.16151457061744964,0.10327955589886445,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.10482848367219183,0.18333969940564224,0.07881104062391006,0.0,0.13363062095621217,0.0,0.0,0.0,0.0
18,0.0,0.0,0.07071067811865474,0.0,0.08770580193070293,0.0,0.0,0.07669649888473704,0.1318760946791574,0.12649110640673517,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.25087260300212727,0.12309149097933275,0.3344968040028363,0.0,0.12573892269238632,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.07559289460184544,0.0,0.0,0.0,0.0,0.0,0.03524536884251207,0.23664319132398465,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.04999999999999999,0.0,0.0,0.0,0.0,0.0,0.04662524041201569,0.13416407864998736,0.0,0.0,0.0,0.04564354645876384,0.0
22,0.0,0.0,0.0,0.0,0.16012815380508716,0.05892556509887897,0.24019223070763074,0.0,0.06019292654288461,0.11547005383792516,0.0,0.0,0.0,0.05892556509887897,0.0
23,0.0,0.0,0.05773502691896257,0.223606797749979,0.0,0.0,0.0,0.0,0.0,0.051639777949432225,0.0,0.0,0.29814239699997197,0.05270462766947299,0.0
24,0.0,0.0,0.048795003647426664,0.0,0.060522753266880246,0.0,0.0,0.05292561240249631,0.04550157551932901,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.03450327796711771,0.0890870806374748,0.0,0.0,0.0,0.0,0.03217447260438935,0.2160246899469287,0.0,0.0,0.0,0.031497039417435604,0.0
26,0.0,0.0,0.05773502691896257,0.0,0.0,0.0,0.0,0.06262242910851494,0.05383819020581655,0.0,0.0,0.0,0.0,0.0,0.0
