fr.en,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,0.15384615384615385,0.034482758620689655,0.030303030303030304,0.03571428571428571,0.21951219512195122,0.038461538461538464,0.13333333333333333,0.0,0.0,0.01639344262295082,0.0,0.0,0.03333333333333333,0.034482758620689655,0.0
2,0.0625,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.020833333333333332,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0
4,0.0,0.13636363636363635,0.03571428571428571,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.017857142857142856,0.0,0.0,0.04,0.0,0.0
5,0.1875,0.0,0.045454545454545456,0.058823529411764705,0.02631578947368421,0.0,0.09523809523809523,0.0,0.0,0.02,0.0,0.0,0.05263157894736842,0.05555555555555555,0.0
6,0.03389830508474576,0.016666666666666666,0.0,0.01694915254237288,0.0,0.0,0.031746031746031744,0.017241379310344827,0.0,0.010869565217391304,0.016129032258064516,0.0,0.0,0.03389830508474576,0.0
7,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0
8,0.041666666666666664,0.13636363636363635,0.07407407407407407,0.0,0.0,0.0,0.0,0.0,0.0,0.11764705882352941,0.0,0.0,0.04,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0425531914893617,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.17647058823529413,0.0,0.0,0.0,0.0,0.0,0.0625,0.09090909090909091,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0625,0.0,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0625,0.0,0.0,0.06666666666666667,0.0,0.0,0.05,0.0,0.0,0.020833333333333332,0.0,0.0,0.0,0.0625,0.0
14,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023255813953488372,0.0,0.0,0.0,0.0,0.0
15,0.0625,0.0,0.05,0.06666666666666667,0.0,0.0,0.05,0.0,0.0,0.020833333333333332,0.0,0.21428571428571427,0.0,0.0625,0.0
16,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0
17,0.029411764705882353,0.09375,0.0,0.0625,0.0,0.0,0.02631578947368421,0.0,0.02857142857142857,0.015151515151515152,0.0,0.0,0.02857142857142857,0.029411764705882353,0.0
18,0.044444444444444446,0.044444444444444446,0.02,0.022222222222222223,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.02127659574468085,0.021739130434782608,0.021739130434782608
