de.fr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
1,0.13363062095621217,0.0,0.0,0.2886751345948129,0.30618621784789724,0.0,0.21650635094610968,0.31622776601683794,0.0,0.18257418583505533,0.15811388300841897,0.0,0.0,0.11322770341445956,0.2886751345948129,0.0,0.17149858514250882
2,0.0,0.0,0.0,0.0,0.0,0.0,0.3086066999241838,0.0,0.10101525445522107,0.0975900072948533,0.0,0.3086066999241838,0.14285714285714285,0.0,0.0,0.0,0.09166984970282112
3,0.0,0.0,0.0,0.0,0.0,0.11180339887498948,0.13693063937629152,0.0,0.11952286093343936,0.05773502691896257,0.0,0.18257418583505536,0.08451542547285164,0.0,0.0,0.0,0.05423261445466404
4,0.1543033499620919,0.0,0.0,0.33333333333333337,0.3535533905932738,0.0,0.16666666666666669,0.3651483716701107,0.0,0.21081851067789195,0.18257418583505536,0.0,0.0,0.1307440900921227,0.33333333333333337,0.0,0.19802950859533489
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.051031036307982884,0.0,0.0,0.06454972243679027,0.11180339887498948,0.0,0.0944911182523068,0.04003203845127178,0.10206207261596577,0.07905694150420949,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12104550653376046,0.0,0.0,0.09166984970282112
8,0.0,0.08058229640253803,0.0,0.0,0.0,0.0,0.2461829819586655,0.0,0.0,0.0778498944161523,0.13483997249264842,0.0,0.11396057645963795,0.14484136487558028,0.12309149097933275,0.09534625892455924,0.0
9,0.14285714285714285,0.0,0.0,0.1543033499620919,0.1091089451179962,0.0,0.07715167498104596,0.16903085094570328,0.0,0.0975900072948533,0.08451542547285164,0.0,0.0,0.06052275326688023,0.1543033499620919,0.0,0.18333969940564224
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.08451542547285165,0.0,0.0,0.0,0.0,0.06454972243679029,0.0,0.1690308509457033,0.0816496580927726,0.07071067811865474,0.25819888974716115,0.0,0.0,0.0,0.0,0.0
12,0.0975900072948533,0.06900655593423542,0.0,0.10540925533894598,0.14907119849998599,0.0,0.05270462766947299,0.11547005383792514,0.0,0.06666666666666665,0.05773502691896257,0.0,0.0,0.04134491152973615,0.10540925533894598,0.0,0.06262242910851494
13,0.0,0.10101525445522107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08451542547285164,0.0,0.0,0.0,0.0,0.0,0.0
14,0.1543033499620919,0.0,0.0,0.33333333333333337,0.3535533905932738,0.0,0.16666666666666669,0.3651483716701107,0.0,0.21081851067789195,0.18257418583505536,0.0,0.0,0.1307440900921227,0.33333333333333337,0.0,0.19802950859533489
15,0.0,0.06900655593423542,0.10540925533894598,0.21081851067789195,0.29814239699997197,0.0,0.10540925533894598,0.23094010767585027,0.0,0.1333333333333333,0.1732050807568877,0.0,0.0,0.0826898230594723,0.21081851067789195,0.0,0.12524485821702988
16,0.1091089451179962,0.23145502494313788,0.0,0.23570226039551587,0.25000000000000006,0.0,0.23570226039551587,0.2581988897471611,0.07715167498104597,0.223606797749979,0.19364916731037085,0.11785113019775793,0.1091089451179962,0.09245003270420486,0.23570226039551587,0.0,0.140028008402801
