de.fr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
1,0.07142857142857142,0.0,0.0,0.16666666666666666,0.13333333333333333,0.0,0.10344827586206896,0.18181818181818182,0.0,0.09523809523809523,0.07692307692307693,0.0,0.0,0.05405405405405406,0.16666666666666666,0.0,0.08695652173913043
2,0.0,0.0,0.0,0.0,0.0,0.0,0.14814814814814814,0.0,0.058823529411764705,0.047619047619047616,0.0,0.18181818181818182,0.07692307692307693,0.0,0.0,0.0,0.043478260869565216
3,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.07317073170731707,0.0,0.06896551724137931,0.029411764705882353,0.0,0.08333333333333333,0.038461538461538464,0.0,0.0,0.0,0.027777777777777776
4,0.08333333333333333,0.0,0.0,0.2,0.15384615384615385,0.0,0.07142857142857142,0.2222222222222222,0.0,0.10526315789473684,0.08333333333333333,0.0,0.0,0.05714285714285714,0.2,0.0,0.09523809523809523
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.02564102564102564,0.0,0.0,0.03333333333333333,0.058823529411764705,0.0,0.045454545454545456,0.021739130434782608,0.047619047619047616,0.045454545454545456,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.043478260869565216
8,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.12903225806451613,0.0,0.0,0.04,0.06896551724137931,0.0,0.058823529411764705,0.07692307692307693,0.0625,0.058823529411764705,0.0
9,0.07692307692307693,0.0,0.0,0.08333333333333333,0.06666666666666667,0.0,0.03333333333333333,0.09090909090909091,0.0,0.047619047619047616,0.038461538461538464,0.0,0.0,0.02702702702702703,0.08333333333333333,0.0,0.09090909090909091
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.030303030303030304,0.0,0.10526315789473684,0.041666666666666664,0.034482758620689655,0.14285714285714285,0.0,0.0,0.0,0.0,0.0
12,0.05555555555555555,0.04,0.0,0.058823529411764705,0.10526315789473684,0.0,0.02857142857142857,0.0625,0.0,0.038461538461538464,0.03225806451612903,0.0,0.0,0.023809523809523808,0.058823529411764705,0.0,0.03571428571428571
13,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0
14,0.08333333333333333,0.0,0.0,0.2,0.15384615384615385,0.0,0.07142857142857142,0.2222222222222222,0.0,0.10526315789473684,0.08333333333333333,0.0,0.0,0.05714285714285714,0.2,0.0,0.09523809523809523
15,0.0,0.045454545454545456,0.07142857142857142,0.07142857142857142,0.058823529411764705,0.0,0.03125,0.07692307692307693,0.0,0.043478260869565216,0.07407407407407407,0.0,0.0,0.02564102564102564,0.07142857142857142,0.0,0.04
16,0.05555555555555555,0.13043478260869565,0.0,0.125,0.10526315789473684,0.0,0.125,0.13333333333333333,0.045454545454545456,0.125,0.10344827586206896,0.058823529411764705,0.05555555555555555,0.04878048780487805,0.125,0.0,0.07407407407407407
