it.en,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1,0.0,0.0,0.0,0.0,0.0,0.0,0.20412414523193154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.10540925533894598,0.0,0.12909944487358058,0.07905694150420949,0.05773502691896257,0.1318760946791574,0.05345224838248487,0.0,0.0,0.0,0.08451542547285165,0.0,0.0,0.0
3,0.0,0.0,0.07106690545187014,0.0,0.20100756305184242,0.0,0.0,0.15075567228888181,0.11009637651263607,0.18860838403857946,0.050964719143762556,0.0,0.050964719143762556,0.0,0.08058229640253803,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.06085806194501846,0.20851441405707477,0.0563436169819011,0.0,0.0,0.0,0.0890870806374748,0.0,0.0,0.0
5,0.0,0.28284271247461895,0.07453559924999298,0.0,0.0,0.0,0.12909944487358058,0.0,0.0,0.1978141420187361,0.05345224838248487,0.09128709291752768,0.10690449676496974,0.10540925533894598,0.0,0.08770580193070293,0.07669649888473704,0.12909944487358058
6,0.0,0.0,0.0,0.0,0.17213259316477406,0.12909944487358055,0.0,0.0,0.04714045207910317,0.4307055216465324,0.04364357804719847,0.223606797749979,0.13093073414159542,0.0,0.06900655593423542,0.0,0.06262242910851494,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5962847939999439,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.14907119849998599,0.0,0.0,0.0,0.0816496580927726,0.18650096164806276,0.07559289460184544,0.0,0.0,0.0,0.11952286093343936,0.0,0.0,0.0
9,0.0,0.0,0.05270462766947298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11338934190276816,0.0,0.05976143046671968,0.062017367294604234,0.05423261445466404,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.13483997249264842,0.07106690545187014,0.0,0.0,0.0,0.12309149097933275,0.0,0.0,0.12573892269238632,0.050964719143762556,0.08703882797784893,0.050964719143762556,0.10050378152592121,0.0,0.08362420100070908,0.07312724241271307,0.12309149097933275
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
