fr.en,1,2,3,4,5,6
1,0.0,0.0,0.0,0.0,0.0,0.0
2,0.7071067811865476,0.0,0.0,0.0,0.0,0.0
3,0.0,0.5057217374241737,0.0,0.0,0.0,0.0
4,0.0,0.0,0.6681531047810609,0.0,0.0,0.0
5,0.0,0.0,0.0,0.8006407690254358,0.0,0.0
6,0.0,0.0,0.0,0.0,0.781555172954599,0.0
