it.en,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
1,0.08333333333333333,0.06666666666666667,0.14285714285714285,0.04878048780487805,0.0,0.0,0.020833333333333332,0.022222222222222223,0.02857142857142857,0.0,0.03225806451612903,0.02857142857142857,0.027777777777777776,0.02631578947368421,0.0,0.02857142857142857,0.0,0.0,0.029411764705882353,0.0,0.02631578947368421,0.03125,0.0,0.043478260869565216,0.03125,0.02631578947368421,0.030303030303030304,0.0,0.0,0.0,0.0,0.02564102564102564,0.03571428571428571,0.0,0.0,0.0,0.075,0.05555555555555555,0.0392156862745098,0.0,0.0,0.0,0.0,0.0,0.0,0.030303030303030304,0.02631578947368421,0.0,0.024390243902439025,0.0,0.023255813953488372,0.0,0.02702702702702703
2,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0625,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10526315789473684,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034482758620689655,0.0,0.029411764705882353,0.0,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.08,0.05263157894736842,0.0,0.03333333333333333,0.0,0.0,0.0,0.1724137931034483,0.14285714285714285,0.03571428571428571,0.1111111111111111,0.09090909090909091,0.041666666666666664,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.02857142857142857,0.0,0.08,0.1,0.0,0.0,0.08333333333333333,0.0,0.037037037037037035,0.0,0.0,0.04,0.0,0.03333333333333333,0.08333333333333333,0.05128205128205128,0.0,0.0,0.0,0.047619047619047616,0.07692307692307693,0.04,0.0,0.038461538461538464,0.0,0.034482758620689655,0.037037037037037035,0.03225806451612903,0.05263157894736842,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.0625,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0
7,0.022727272727272728,0.05555555555555555,0.0,0.020833333333333332,0.0,0.0,0.0,0.0196078431372549,0.024390243902439025,0.021739130434782608,0.02702702702702703,0.024390243902439025,0.0,0.046511627906976744,0.0,0.024390243902439025,0.0,0.0,0.025,0.0,0.022727272727272728,0.02631578947368421,0.0,0.038461538461538464,0.0,0.046511627906976744,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020833333333333332,0.047619047619047616,0.017241379310344827,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.022727272727272728,0.0,0.0,0.0,0.0,0.0,0.023255813953488372
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.03571428571428571,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.04,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030303030303030304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.06896551724137931,0.14285714285714285,0.03225806451612903,0.0,0.0,0.0,0.025,0.02702702702702703,0.037037037037037035,0.0,0.043478260869565216,0.21739130434782608,0.0,0.06896551724137931,0.0,0.037037037037037035,0.0,0.0,0.038461538461538464,0.037037037037037035,0.03333333333333333,0.041666666666666664,0.0,0.05263157894736842,0.0,0.06896551724137931,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034482758620689655,0.022727272727272728,0.03225806451612903,0.038461538461538464,0.03571428571428571,0.0,0.0,0.0,0.08333333333333333,0.03333333333333333,0.047619047619047616,0.030303030303030304,0.0,0.0,0.0,0.034482758620689655
13,0.15789473684210525,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.11764705882352941,0.0,0.07142857142857142,0.05555555555555555,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.11764705882352941,0.0,0.14285714285714285,0.0,0.03333333333333333,0.0,0.047619047619047616,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
