it.fr,1,2,3,4,5,6,7,8,9,10,11,12,13,14
1,0.0,0.0,0.19364916731037085,0.17677669529663687,0.3195048252113469,0.08219949365267865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.31622776601683794,0.40824829046386296,0.07352146220938077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.24999999999999994,0.3227486121839514,0.34874291623145787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.1563858105428061,0.0,0.0,0.0,0.0,0.1643989873053573,0.35355339059327373,0.06063390625908324,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.07453559924999299,0.0,0.0,0.0,0.0,0.125,0.2858309752375147,0.0,0.0890870806374748,0.02993421700446249,0.0,0.0,0.07453559924999299
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.280056016805602,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1889822365046136,0.1270001270001905,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.06681531047810609,0.13750477455423168,0.0,0.0,0.45601459270045336,0.1709408646894569,0.1889822365046136,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.05892556509887895,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.10540925533894598
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0472455591261534,0.19446111706564934,0.1091089451179962,0.0,0.1018266349953196,0.0,0.0,0.0
13,0.06019292654288461,0.09128709291752768,0.0,0.0,0.0,0.1898315991504998,0.05103103630798287,0.0700140042014005,0.0,0.1091089451179962,0.036661778755338326,0.0,0.0,0.09128709291752768
