it.en,1,2,3,4,5,6,7,8,9,10,11
1,0.42105263157894735,0.21428571428571427,0.17647058823529413,0.04878048780487805,0.0,0.02857142857142857,0.0,0.0,0.0,0.046511627906976744,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.038461538461538464,0.0625,0.42857142857142855,0.13157894736842105,0.0,0.058823529411764705,0.0,0.0,0.0,0.022727272727272728,0.0
4,0.03333333333333333,0.05,0.2,0.175,0.0,0.02564102564102564,0.0,0.0,0.0,0.020833333333333332,0.0
5,0.0,0.0,0.09523809523809523,0.022222222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.03125,0.045454545454545456,0.13043478260869565,0.08888888888888889,0.0,0.024390243902439025,0.0,0.0,0.0,0.02,0.0
7,0.05128205128205128,0.03333333333333333,0.030303030303030304,0.017857142857142856,0.0,0.02040816326530612,0.0,0.0,0.0,0.017241379310344827,0.0
8,0.041666666666666664,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023809523809523808,0.0
9,0.041666666666666664,0.0,0.0,0.0,0.0,0.030303030303030304,0.0,0.0,0.0,0.0,0.0
10,0.043478260869565216,0.07692307692307693,0.0625,0.02564102564102564,0.0,0.03125,0.0,0.0,0.0,0.024390243902439025,0.0
11,0.1111111111111111,0.1111111111111111,0.08333333333333333,0.02857142857142857,0.0,0.03571428571428571,0.0,0.0,0.0,0.05555555555555555,0.0
12,0.030303030303030304,0.043478260869565216,0.125,0.041666666666666664,0.037037037037037035,0.023809523809523808,0.0,0.0,0.0,0.0196078431372549,0.0
13,0.125,0.13333333333333333,0.1111111111111111,0.023809523809523808,0.0,0.02857142857142857,0.0,0.0,0.0,0.046511627906976744,0.0
14,0.05263157894736842,0.1111111111111111,0.08333333333333333,0.02857142857142857,0.0,0.03571428571428571,0.0,0.0,0.0,0.02702702702702703,0.0
15,0.038461538461538464,0.0625,0.05263157894736842,0.023809523809523808,0.0,0.02857142857142857,0.0,0.0,0.0,0.022727272727272728,0.0
16,0.04,0.06666666666666667,0.05555555555555555,0.05,0.0,0.06060606060606061,0.0,0.0,0.0,0.023255813953488372,0.0
17,0.0,0.0,0.0,0.02702702702702703,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.041666666666666664,0.07142857142857142,0.058823529411764705,0.025,0.0,0.030303030303030304,0.0,0.0,0.0,0.023809523809523808,0.0
20,0.034482758620689655,0.05263157894736842,0.045454545454545456,0.022222222222222223,0.0,0.05405405405405406,0.0,0.0,0.0,0.02127659574468085,0.0
21,0.03333333333333333,0.05,0.043478260869565216,0.11904761904761904,0.0,0.02564102564102564,0.0,0.0,0.0,0.020833333333333332,0.0
22,0.0,0.0,0.0,0.1,0.047619047619047616,0.05714285714285714,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.02631578947368421,0.0625,0.03225806451612903,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.08108108108108109,0.0,0.03125,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.038461538461538464,0.0,0.021739130434782608,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.03571428571428571,0.05555555555555555,0.0,0.0975609756097561,0.0,0.05555555555555555,0.0,0.0,0.0,0.021739130434782608,0.0
29,0.05263157894736842,0.1111111111111111,0.08333333333333333,0.02857142857142857,0.0,0.03571428571428571,0.0,0.0,0.0,0.02702702702702703,0.0
30,0.0,0.0,0.0,0.0,0.3333333333333333,0.038461538461538464,0.0,0.0,0.0,0.0,0.0
31,0.023255813953488372,0.030303030303030304,0.027777777777777776,0.034482758620689655,0.02702702702702703,0.20454545454545456,0.09375,0.05405405405405406,0.0,0.03333333333333333,0.0
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.043478260869565216,0.022727272727272728,0.0
33,0.02564102564102564,0.034482758620689655,0.03125,0.037037037037037035,0.0,0.020833333333333332,0.0,0.06060606060606061,0.15625,0.16,0.0
34,0.037037037037037035,0.058823529411764705,0.05,0.023255813953488372,0.0,0.05714285714285714,0.0,0.045454545454545456,0.0,0.06976744186046512,0.0
35,0.0,0.0,0.0,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,0.10714285714285714,0.10526315789473684,0.043478260869565216,0.021739130434782608,0.0,0.02564102564102564,0.0,0.04,0.0,0.11363636363636363,0.2631578947368421
