de.en,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1,0.47193990372426936,0.0,0.10660035817780521,0.06428243465332249,0.12309149097933272,0.3077287274483318,0.10050378152592121,0.0,0.0,0.19507682662870654,0.2261335084333227,0.0,0.0,0.19069251784911842,0.24618298195866545,0.14414999403128942,0.26804385337361925,0.1507556722888818,0.06428243465332249
2,0.09128709291752767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.21764287503300345,0.0,0.057353933467640436,0.13834289277321493,0.06622661785325219,0.06622661785325219,0.3244428422615251,0.0,0.0,0.10495671428119792,0.12166606584807188,0.0,0.0,0.1025978352085154,0.13245323570650439,0.11633501014942217,0.12361284651454936,0.08111071056538126,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.07856742013183861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0563436169819011,0.0,0.0,0.0
5,0.3162277660168379,0.0,0.08333333333333333,0.0,0.09622504486493763,0.09622504486493763,0.23570226039551584,0.0,0.0,0.15249857033260467,0.17677669529663687,0.0,0.0,0.14907119849998599,0.19245008972987526,0.1126872339638022,0.17960530202677488,0.1178511301977579,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.05976143046671967,0.0,0.0,0.0,0.0,0.0,0.1781741612749496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0440225453162812,0.0,0.09128709291752768,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1543033499620919,0.10206207261596577,0.062257280636469035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14142135623730948,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11396057645963795,0.07537783614444091,0.09196009797434058,0.0,0.09534625892455924,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.15811388300841897,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1259881576697424,0.08333333333333333,0.10166571355506979,0.0,0.10540925533894598,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06819943394704735,0.0,0.14142135623730948,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07624928516630233,0.0,0.15811388300841897,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06819943394704735,0.0,0.14142135623730948,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053916386601719206,0.0,0.22360679774997896,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.05270462766947298,0.0,0.0,0.0,0.0,0.0,0.15713484026367722,0.0,0.0,0.05083285677753489,0.0,0.10540925533894598,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04822428221704121,0.2795084971874737,0.29999999999999993,0.09534625892455924,0.14142135623730948,0.09128709291752768,0.0,0.0,0.0,0.0
21,0.3499999999999999,0.14142135623730948,0.07905694150420949,0.0,0.18257418583505536,0.09128709291752768,0.07453559924999299,0.0,0.07905694150420949,0.33756997551928847,0.22360679774997896,0.0,0.0,0.21213203435596423,0.18257418583505536,0.21380899352993948,0.28398091712353235,0.11180339887498948,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16903085094570328,0.22360679774997896,0.1363988678940947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0944911182523068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11396057645963795,0.15075567228888181,0.09196009797434058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.17407765595569785,0.0,0.0,0.13608276348795434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3952847075210474,0.04822428221704121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0,0.0,0.14907119849998599,0.11952286093343936,0.07905694150420949,0.04822428221704121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11396057645963795,0.22613350843332272,0.09196009797434058,0.0,0.0,0.0,0.06741998624632421,0.0,0.050964719143762556,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10206207261596577,0.0,0.0,0.0,0.0,0.09128709291752768,0.0,0.06900655593423542,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1363988678940947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11952286093343936,0.07905694150420949,0.14467284665112365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.115278083540847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,0.23836564731139803,0.0,0.07537783614444091,0.0,0.08703882797784893,0.08703882797784893,0.07106690545187015,0.0,0.0,0.13794014696151088,0.15990053726670783,0.0,0.0,0.13483997249264842,0.17407765595569785,0.10192943828752511,0.1624591083221647,0.10660035817780521,0.0
39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1543033499620919,0.0,0.12451456127293807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,0.29880715233359834,0.0,0.0944911182523068,0.0,0.1091089451179962,0.1091089451179962,0.0890870806374748,0.0,0.0,0.1729171253112705,0.2004459314343183,0.0,0.0,0.16903085094570328,0.2182178902359924,0.12777531299998798,0.20365326999063915,0.13363062095621217,0.0
41,0.0,0.0,0.0,0.09534625892455924,0.0,0.0,0.07453559924999299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,0.05270462766947298,0.0,0.0,0.0,0.0,0.0,0.15713484026367722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1178511301977579,0.0
43,0.0,0.0,0.0,0.10050378152592121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05986843400892496,0.0,0.0
44,0.05590169943749473,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.08838834764831843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
