de.en,1,2,3
1,0.25,0.0,0.11764705882352941
2,0.0,0.0,0.06451612903225806
3,0.15789473684210525,0.0,0.06060606060606061
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.037037037037037035,0.043478260869565216,0.10810810810810811
7,0.17647058823529413,0.0,0.03125
8,0.045454545454545456,0.0,0.02857142857142857
9,0.10526315789473684,0.0,0.030303030303030304
10,0.0,0.18181818181818182,0.0
11,0.0,0.0,0.038461538461538464
