fr.en,1,2,3,4,5,6,7,8
1,0.2,0.0,0.0,0.0,0.0,0.12,0.0,0.09090909090909091
2,0.07692307692307693,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.0
5,0.041666666666666664,0.0,0.0,0.0,0.0,0.03571428571428571,0.047619047619047616,0.041666666666666664
6,0.0,0.043478260869565216,0.045454545454545456,0.0,0.0,0.0,0.0,0.0
7,0.09523809523809523,0.0,0.0,0.0,0.0,0.125,0.0,0.09523809523809523
8,0.04,0.045454545454545456,0.047619047619047616,0.0,0.0,0.034482758620689655,0.045454545454545456,0.04
9,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.0,0.043478260869565216
10,0.045454545454545456,0.0,0.0,0.0,0.0,0.08,0.0,0.09523809523809523
11,0.0,0.0,0.0,0.0,0.0,0.030303030303030304,0.0,0.034482758620689655
12,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.0
15,0.05263157894736842,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.1111111111111111
16,0.0,0.0,0.0,0.0,0.0,0.08695652173913043,0.0,0.0
17,0.05263157894736842,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.1111111111111111
18,0.05,0.0,0.0,0.0,0.0,0.08695652173913043,0.0,0.10526315789473684
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0625
21,0.047619047619047616,0.0,0.0,0.0,0.0,0.13043478260869565,0.0,0.1
22,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.0
23,0.04,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.08333333333333333
24,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.045454545454545456
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.06896551724137931,0.0,0.0,0.0,0.0,0.09375,0.0,0.06896551724137931
28,0.07692307692307693,0.0,0.0,0.0,0.0,0.058823529411764705,0.1,0.0
29,0.041666666666666664,0.0,0.05,0.0,0.0,0.07407407407407407,0.0,0.08695652173913043
30,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0
31,0.0,0.05,0.0,0.05,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,0.0,0.09090909090909091,0.0,0.0,0.0,0.11764705882352941,0.0,0.0
36,0.0,0.058823529411764705,0.0,0.0,0.0,0.041666666666666664,0.0,0.05
37,0.0,0.03225806451612903,0.03333333333333333,0.0,0.034482758620689655,0.05405405405405406,0.0,0.029411764705882353
38,0.0,0.05555555555555555,0.2,0.0,0.0,0.0,0.0,0.0
39,0.0,0.08333333333333333,0.09090909090909091,0.0,0.0,0.0,0.0,0.0
40,0.05,0.0,0.0,0.0,0.0,0.08695652173913043,0.0,0.10526315789473684
41,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0
