de.it,1,2,3,4,5,6,7,8,9
1,0.20833333333333334,0.0,0.0625,0.0,0.0,0.09090909090909091,0.0,0.07142857142857142,0.1111111111111111
2,0.07692307692307693,0.0,0.0,0.0,0.0,0.09523809523809523,0.0,0.0,0.0
3,0.05128205128205128,0.0,0.0,0.0,0.0,0.058823529411764705,0.02631578947368421,0.0,0.03225806451612903
4,0.125,0.0,0.07142857142857142,0.0,0.0,0.1,0.0,0.07692307692307693,0.125
5,0.0,0.0,0.0,0.027777777777777776,0.0,0.0,0.0,0.0,0.0
6,0.05714285714285714,0.0,0.0,0.022222222222222223,0.017241379310344827,0.0,0.09375,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07407407407407407,0.0
8,0.03225806451612903,0.0,0.0,0.0,0.018867924528301886,0.0,0.034482758620689655,0.13793103448275862,0.0
9,0.037037037037037035,0.0,0.06666666666666667,0.0,0.0,0.045454545454545456,0.04,0.07407407407407407,0.05555555555555555
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.019230769230769232,0.04,0.03571428571428571,0.0,0.0
12,0.06451612903225806,0.0,0.10526315789473684,0.024390243902439025,0.057692307692307696,0.037037037037037035,0.0,0.030303030303030304,0.043478260869565216
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.08,0.0,0.07142857142857142,0.058823529411764705,0.0,0.1,0.0,0.07692307692307693,0.125
15,0.034482758620689655,0.0,0.0,0.02631578947368421,0.04,0.041666666666666664,0.037037037037037035,0.03333333333333333,0.05
16,0.1,0.0,0.10526315789473684,0.0,0.057692307692307696,0.12,0.0,0.0625,0.09090909090909091
