it.en,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1,0.8131727983645296,0.30618621784789724,0.0,0.20412414523193148,0.3779644730092272,0.254000254000381,0.5079721589671173,0.4374999999999999,0.18749999999999997,0.236227795630767,0.2785430072655778,0.15875015875023812,0.24333213169614376,0.13693063937629152,0.06804138174397716,0.0,0.0,0.23814483610392007,0.3768891807222045
2,0.06030226891555273,0.0,0.2279211529192759,0.0,0.0,0.0,0.0,0.0,0.10660035817780521,0.0,0.07918075824648958,0.0,0.0,0.0,0.11605177063713189,0.0,0.0,0.11605177063713189,0.12856486930664499
3,0.4365641250653993,0.280056016805602,0.0,0.280056016805602,0.7130240959073808,0.3049247893083225,0.49195203701447265,0.17149858514250882,0.17149858514250882,0.12964074471043288,0.28661838988431687,0.13068205256070964,0.11128297681493142,0.06262242910851494,0.09335200560186732,0.0,0.0,0.140028008402801,0.2585438449975096
4,0.2683281572999747,0.0,0.0,0.2581988897471611,0.23904572186687872,0.7630583624573739,0.30237157840738177,0.0,0.07905694150420949,0.0,0.23488808780588138,0.0,0.1025978352085154,0.3464101615137754,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.4073065399812784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14547859349066158,0.0,0.0,0.0,0.16116459280507606
6,0.5756419341601482,0.0,0.08058229640253804,0.061545745489666376,0.45584230583855184,0.2871898429003064,0.7928249671720919,0.48995593493886597,0.16960013132499202,0.19943100880436643,0.26594894270403074,0.210605884793558,0.1956463952178074,0.08257228238447704,0.04103049699311091,0.0,0.0,0.1846372364689991,0.4318181818181819
7,0.04264014327112208,0.0,0.0,0.12309149097933272,0.0,0.038291979053374184,0.0,0.0,0.03768891807222045,0.11396057645963795,0.13997312773896356,0.11487593716012255,0.04891159880445184,0.0,0.0,0.0,0.0,0.12309149097933272,0.13636363636363635
8,0.35777087639996635,0.0,0.0,0.0,0.23904572186687872,0.0,0.30237157840738177,0.31622776601683794,0.15811388300841897,0.23904572186687872,0.17616606585441102,0.16064386578049977,0.2051956704170308,0.0,0.0,0.0,0.0,0.17213259316477406,0.38138503569823684
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08838834764831843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.05547001962252291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07412493166611013,0.03641785203646149,0.049813548138671795,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.1485562705416415,0.0,0.0,0.0,0.09925833339709303,0.0,0.1255529641148689,0.13130643285972254,0.8534918135881966,0.09925833339709303,0.09753196981883415,0.06670373459650701,0.12780429685269148,0.04794633014853841,0.14294833797837264,0.05360562674188975,0.07580980435789035,0.1072112534837795,0.19795189561622398
12,0.3320391543176799,0.0,0.08964214570007951,0.18257418583505539,0.253546276418555,0.07099522928088312,0.22717205562556075,0.2795084971874737,0.20963137289060527,0.38031941462783253,0.6436024688664848,0.5111656508223584,0.14509525002200233,0.0,0.10650160840378231,0.0,0.0,0.3042903097250923,0.337099931231621
