de.fr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
1,0.5570066518960167,0.0,0.1386750490563073,0.1386750490563073,0.0,0.0,0.18490006540840973,0.11322770341445959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20672455764868078,0.0,0.16012815380508716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15384615384615385,0.0,0.22645540682891918
2,0.0,0.0,0.2886751345948129,0.0,0.0,0.0,0.0,0.23570226039551587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.09128709291752768,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14907119849998599,0.0,0.14433756729740646,0.0,0.16666666666666666,0.0,0.16666666666666666,0.20412414523193154,0.0,0.17677669529663687,0.0,0.0,0.0,0.20412414523193154
4,0.07453559924999299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11785113019775793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.05270462766947299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.06933752452815364,0.0,0.08362420100070908,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.1405456737852613,0.17213259316477406,0.0,0.0,0.20412414523193148,0.11605177063713189,0.12830005981991682,0.0,0.10675210253672476,0.0,0.14907119849998599,0.05143444998736397,0.0,0.0,0.0,0.0,0.11475506210984937,0.0,0.0,0.0,0.0,0.09622504486493763,0.0,0.0,0.17213259316477406,0.0,0.0,0.10675210253672476,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.11547005383792514,0.14142135623730948,0.0,0.0,0.22360679774997896,0.09534625892455924,0.10540925533894598,0.0,0.08770580193070293,0.0,0.0816496580927726,0.08451542547285165,0.0,0.0,0.0,0.0,0.09428090415820634,0.0,0.0,0.0,0.0,0.07905694150420949,0.0,0.0,0.14142135623730948,0.0,0.0,0.08770580193070293,0.0,0.0
10,0.0,0.0,0.0,0.0,0.14433756729740646,0.12309149097933275,0.0,0.0,0.11322770341445959,0.2461829819586655,0.10540925533894598,0.1091089451179962,0.1543033499620919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.12499999999999997,0.0,0.0,0.0,0.09805806756909201,0.10660035817780521,0.0,0.0944911182523068,0.0,0.0,0.0,0.06565321642986127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1178511301977579,0.0
12,0.0,0.0,0.0,0.0,0.15811388300841897,0.13483997249264842,0.0,0.0,0.12403473458920847,0.0,0.11547005383792514,0.11952286093343936,0.16903085094570328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.09805806756909201,0.08362420100070908,0.0,0.0,0.07692307692307693,0.0,0.1432229748078866,0.22237479499833038,0.10482848367219183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2581988897471611,0.3563483225498992,0.0,0.0,0.0,0.24759378423606918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.09428090415820634,0.0,0.0,0.12909944487358055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19245008972987526,0.0,0.14907119849998599,0.0,0.17213259316477406,0.0,0.17213259316477406,0.21081851067789195,0.0,0.18257418583505533,0.0,0.0,0.0,0.0
17,0.03450327796711771,0.0,0.0944911182523068,0.0472455591261534,0.0,0.0,0.0,0.07715167498104596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0563436169819011,0.0,0.0545544725589981,0.0,0.0629940788348712,0.0,0.0629940788348712,0.07715167498104596,0.0,0.06681531047810609,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041344911529736156,0.0,0.0,0.12403473458920847,0.04622501635210243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2672612419124244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0563436169819011,0.0,0.0,0.0,0.1259881576697424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.03806934938134405,0.0,0.0,0.05212860351426869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06216698721602092,0.0,0.06019292654288461,0.0,0.06950480468569159,0.0,0.06950480468569159,0.08512565307587487,0.0,0.07372097807744857,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049690399499995326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
