it.fr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,0.42365927286816174,0.34992710611188266,0.36313651960128146,0.25197631533948484,0.1973855084879307,0.0,0.0,0.07715167498104596,0.17471413945365305,0.0,0.09304842103984709,0.0,0.19518001458970666,0.15430334996209194,0.10101525445522108,0.0,0.11664236870396087,0.1283881477532739,0.0,0.3273268353539886
2,0.3108809141790293,0.299572344757639,0.48852715085276033,0.36980013081681945,0.28968272975116055,0.050636968354183326,0.029235267310234306,0.16984155512168936,0.1794871794871795,0.0,0.06827887419989188,0.0,0.21483446221182984,0.1887128390240993,0.17295817388759024,0.0,0.17118419700436516,0.09421114395319917,0.0,0.2802242691589025
3,0.15384615384615385,0.22237479499833038,0.3076923076923077,0.16012815380508716,0.25087260300212727,0.0,0.0,0.0,0.08882311833686551,0.0,0.05913123959890826,0.0,0.062017367294604234,0.19611613513818407,0.1283881477532739,0.0,0.22237479499833038,0.10878565864408424,0.0,0.1386750490563073
4,0.09245003270420486,0.0,0.09245003270420486,0.09622504486493763,0.10050378152592121,0.0,0.0,0.35355339059327373,0.1601281538050871,0.0,0.07106690545187015,0.0,0.0,0.07856742013183861,0.05143444998736397,0.0,0.0,0.0,0.0,0.08333333333333333
5,0.24806946917841693,0.23904572186687872,0.24806946917841693,0.12909944487358055,0.40451991747794525,0.0,0.0,0.0,0.14322297480788657,0.0,0.0,0.0,0.09999999999999998,0.31622776601683794,0.20701966780270625,0.0,0.23904572186687872,0.17541160386140586,0.0,0.22360679774997896
6,0.36980013081681945,0.2672612419124244,0.2773500981126146,0.19245008972987526,0.40201512610368484,0.0,0.0,0.0,0.10675210253672475,0.0,0.0,0.0,0.14907119849998599,0.23570226039551584,0.1543033499620919,0.0,0.1781741612749496,0.1307440900921227,0.0,0.25
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.05143444998736397,0.0,0.0,0.0,0.06085806194501844,0.4216370213557839,0.06804138174397716,0.0,0.0,0.0,0.0,0.2151657414559676,0.0,0.0,0.0,0.0,0.11322770341445958,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.08944271909999159,0.28401877872187725,0.04999999999999999,0.022645540682891912,0.0,0.0,0.0,0.12649110640673517,0.0,0.0,0.0,0.0,0.08320502943378437,0.0,0.0
10,0.0,0.050507627227610534,0.052414241836095915,0.1091089451179962,0.05698028822981897,0.0,0.0,0.0,0.06052275326688023,0.0,0.08058229640253803,0.0,0.04225771273642582,0.0890870806374748,0.029160592175990215,0.0,0.0,0.03706246583305506,0.0,0.0472455591261534
11,0.2545139051903111,0.12262786789699315,0.12725695259515554,0.06622661785325219,0.2075143391598224,0.07254762501100116,0.04188539082916955,0.08111071056538126,0.11020775375559674,0.0,0.0,0.0,0.0512989176042577,0.2703690352179376,0.21239769762143657,0.0,0.12262786789699315,0.0899842541331695,0.0,0.11470786693528087
12,0.24209101306752098,0.17496355305594133,0.18156825980064073,0.06299407883487121,0.1973855084879307,0.0,0.0,0.07715167498104596,0.17471413945365305,0.0,0.0,0.0,0.14638501094227999,0.15430334996209194,0.16835875742536846,0.0,0.17496355305594133,0.08559209850218259,0.0,0.1636634176769943
13,0.16724840200141816,0.16116459280507606,0.16724840200141816,0.08703882797784893,0.2727272727272727,0.09534625892455924,0.055048188256318034,0.10660035817780521,0.14484136487558028,0.0,0.1928473039599675,0.0,0.06741998624632421,0.2842676218074806,0.18609684207969418,0.0,0.16116459280507606,0.17739371879672478,0.0,0.15075567228888181
14,0.0,0.0,0.0,0.0,0.0,0.08451542547285165,0.048795003647426664,0.0944911182523068,0.04279604925109129,0.0,0.11396057645963795,0.0,0.0,0.0,0.041239304942116126,0.0,0.0,0.0,0.0,0.0
15,0.3750457847507963,0.2710523708715754,0.28128433856309726,0.19518001458970666,0.2548235957188128,0.05345224838248487,0.030860669992418377,0.05976143046671968,0.16239958858823003,0.0,0.14414999403128942,0.0,0.264575131106459,0.3187276291558383,0.28690229202651557,0.0,0.1355261854357877,0.13259870882635919,0.0,0.253546276418555
