de.en,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,0.1860521018838127,0.21306624726853057,0.2773500981126146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10482848367219183,0.06537204504606135,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.14784425419091463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2182178902359924,0.0,0.0,0.0,0.0,0.16012815380508716,0.2581988897471611,0.0,0.0,0.0,0.0,0.14907119849998599
3,0.22360679774997896,0.12803687993289603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.1386750490563073,0.22360679774997896,0.0,0.0,0.14433756729740646,0.0,0.2581988897471611
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18257418583505536,0.0,0.0,0.0,0.0,0.10540925533894598
5,0.06454972243679027,0.07392212709545731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.12403473458920847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.049281418063638206,0.0,0.18670401120373464,0.07273929674533079,0.0,0.07856742013183861,0.0,0.16012815380508716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.04048881650894581,0.0,0.2300894966542111,0.11952286093343936,0.0,0.12909944487358058,0.0,0.08770580193070293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.19802950859533489,0.1543033499620919,0.0,0.33333333333333337,0.20412414523193154,0.11322770341445959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.26726124191242434,0.14433756729740646,0.14433756729740646,0.0,0.0,0.0,0.0,0.13363062095621217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.21693045781865616,0.16903085094570328,0.0,0.18257418583505536,0.0,0.12403473458920847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.13453455879926252,0.10482848367219183,0.22645540682891918,0.11322770341445959,0.0,0.15384615384615385,0.09805806756909201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2773500981126146,0.4714045207910316,0.0,0.0,0.15713484026367722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.23094010767585027,0.1322359209814573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2581988897471611,0.21483446221182986,0.23094010767585027,0.0,0.0,0.14907119849998599,0.0,0.2666666666666666
17,0.12677313820927746,0.14518017554874824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0944911182523068,0.10482848367219183,0.08451542547285164,0.0,0.0,0.0545544725589981,0.0,0.0975900072948533
18,0.031008683647302117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.048393391849582745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.09325048082403138,0.053395069993807706,0.06950480468569159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10425720702853739,0.057831493196624034,0.09325048082403138,0.0,0.0,0.06019292654288461,0.0,0.1076763804116331
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
