de.fr,1,2,3,4,5,6
1,0.07905694150420949,0.15811388300841897,0.22360679774997896,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.1889822365046136,0.21428571428571427,0.3779644730092272,0.3241018617760822
4,0.0,0.0,0.4743416490252569,0.0,0.0,0.05423261445466404
5,0.0,0.0,0.0,0.0,0.0,0.05423261445466404
6,0.0,0.0,0.0,0.1781741612749496,0.0,0.08084520834544433
7,0.2886751345948129,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.25724787771376323,0.0,0.0,0.0
9,0.0,0.0,0.36514837167011066,0.0,0.0,0.0
10,0.07537783614444091,0.0,0.0,0.0,0.0,0.14625448482542613
11,0.0944911182523068,0.0,0.26726124191242434,0.10101525445522107,0.13363062095621217,0.27500954910846337
12,0.0,0.0,0.0,0.3779644730092272,0.0,0.0
13,0.0,0.0,0.0,0.1889822365046136,0.8749999999999998,0.34299717028501764
14,0.08838834764831843,0.0,0.12499999999999997,0.1889822365046136,0.12499999999999997,0.34299717028501764
15,0.0,0.0,0.14744195615489714,0.0,0.2211629342323457,0.05057217374241737
16,0.0,0.0,0.14433756729740646,0.0,0.0,0.0
