fr.en,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,0.2857738033247041,0.2805147493273108,0.3042903097250923,0.17712297710801905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08606629658238704,0.07453559924999299,0.0,0.12171612389003691,0.05063696835418333,0.0816496580927726,0.0,0.0,0.05270462766947299,0.0,0.09428090415820634
2,0.0,0.17177950029416053,0.0,0.10846522890932808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3872983346207417,0.0,0.0
3,0.0,0.12803687993289603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1889822365046136,0.0,0.0,0.0,0.0,0.2773500981126146,0.0,0.0,0.0,0.0,0.0,0.0
4,0.16770509831248423,0.12803687993289603,0.4166666666666667,0.06063390625908324,0.0944911182523068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05892556509887897,0.0,0.0,0.125,0.06933752452815364,0.11180339887498948,0.0,0.0,0.07216878364870323,0.0,0.12909944487358055
5,0.0,0.04526787302125928,0.1178511301977579,0.42874646285627205,0.13363062095621217,0.0,0.14433756729740646,0.0,0.09805806756909201,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.03860457182410916,0.0,0.43876345447627835,0.11396057645963795,0.0,0.2461829819586655,0.0,0.08362420100070908,0.0,0.0,0.0,0.07106690545187015,0.12309149097933275,0.0,0.050251890762960605,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.07453559924999299,0.08535791995526401,0.1111111111111111,0.16169041669088866,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.07856742013183861,0.13608276348795434,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.1045416746978634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3086066999241838,0.0,0.0,0.0,0.0,0.11322770341445959,0.0,0.0,0.0,0.0,0.0,0.10540925533894598
9,0.0,0.0,0.09245003270420486,0.13453455879926252,0.4193139346887673,0.0,0.11322770341445959,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.03860457182410916,0.0,0.0,0.11396057645963795,0.12309149097933275,0.492365963917331,0.6030226891555273,0.0,0.0,0.0,0.11396057645963795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.12524485821702988,0.0975900072948533,0.0,0.10540925533894598,0.0,0.8593378488473195,0.18257418583505533,0.11547005383792514,0.0,0.06085806194501846,0.0,0.0,0.043033148291193514,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0890870806374748,0.12964074471043288,0.20203050891044214,0.1091089451179962,0.2182178902359924,0.0,0.22237479499833038,0.5669467095138409,0.11952286093343936,0.10101525445522107,0.12598815766974242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10482848367219183,0.13363062095621217,0.8451542547285165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
