fr.en,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,0.13043478260869565,0.11904761904761904,0.125,0.09523809523809523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.07142857142857142,0.0,0.05714285714285714,0.047619047619047616,0.07692307692307693,0.0,0.0,0.05,0.0,0.058823529411764705
2,0.0,0.075,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21428571428571427,0.0,0.0
3,0.0,0.024390243902439025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
4,0.07142857142857142,0.0625,0.29411764705882354,0.038461538461538464,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.0,0.0,0.025,0.04,0.058823529411764705,0.0,0.0,0.041666666666666664,0.0,0.047619047619047616
5,0.0,0.022222222222222223,0.0625,0.2222222222222222,0.07142857142857142,0.0,0.07692307692307693,0.0,0.058823529411764705,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.020833333333333332,0.0,0.25,0.058823529411764705,0.0,0.13333333333333333,0.0,0.05,0.0,0.0,0.0,0.04,0.0625,0.0,0.02631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.04,0.044444444444444446,0.058823529411764705,0.09523809523809523,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.043478260869565216,0.07142857142857142,0.0,0.027777777777777776,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.023255813953488372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.07142857142857142
9,0.0,0.0,0.047619047619047616,0.038461538461538464,0.25,0.0,0.05555555555555555,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.022222222222222223,0.0,0.0,0.07142857142857142,0.07692307692307693,0.2727272727272727,0.3333333333333333,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.04,0.05555555555555555,0.0,0.058823529411764705,0.0,0.6923076923076923,0.1111111111111111,0.0625,0.0,0.038461538461538464,0.0,0.0,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.045454545454545456,0.037037037037037035,0.10526315789473684,0.05263157894736842,0.1111111111111111,0.0,0.14285714285714285,0.375,0.05555555555555555,0.05,0.07407407407407407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.07142857142857142,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.016666666666666666,0.03225806451612903,0.0,0.034482758620689655,0.03571428571428571,0.03571428571428571,0.0,0.06451612903225806,0.06896551724137931,0.0,0.034482758620689655,0.35714285714285715,0.2608695652173913,0.038461538461538464,0.04081632653061224,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.06,0.07246376811594203,0.046511627906976744,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.024390243902439025,0.05263157894736842,0.03225806451612903,0.06521739130434782,0.025,0.0,0.0,0.02127659574468085,0.0,0.022727272727272728
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.07407407407407407,0.06382978723404255,0.05,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02564102564102564,0.041666666666666664,0.21428571428571427,0.17647058823529413,0.0,0.043478260869565216,0.0,0.16666666666666666
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.0625,0.0,0.0
21,0.04,0.021739130434782608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.047619047619047616,0.16666666666666666,0.0,0.0,0.05,0.0,0.125
22,0.03125,0.058823529411764705,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.05,0.0,0.0,0.0,0.0,0.041666666666666664
23,0.08333333333333333,0.021739130434782608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05714285714285714,0.047619047619047616,0.07692307692307693,0.0,0.0,0.05,0.0,0.058823529411764705
24,0.045454545454545456,0.023255813953488372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030303030303030304,0.05555555555555555,0.1,0.0,0.0,0.058823529411764705,0.0,0.07142857142857142
25,0.0,0.023809523809523808,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.041666666666666664,0.022222222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02857142857142857,0.05,0.08333333333333333,0.0,0.0,0.05263157894736842,0.0,0.13333333333333333
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.08,0.043478260869565216,0.05555555555555555,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.0
29,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0
30,0.045454545454545456,0.023255813953488372,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
