de.en,1,2,3,4,5,6,7,8,9
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.21320071635561047,0.2886751345948129,0.05330017908890262,0.1767766952966369,0.0,0.26516504294495535,0.26516504294495535,0.25,0.1767766952966369
3,0.4351941398892446,0.11785113019775793,0.17407765595569785,0.0,0.07453559924999299,0.0,0.0,0.0,0.0
4,0.0,0.13608276348795434,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.20412414523193154,0.30151134457776363,0.0,0.12909944487358055,0.0,0.0,0.0,0.0
6,0.26111648393354675,0.0,0.26111648393354675,0.14433756729740646,0.14907119849998599,0.0,0.0,0.0,0.19245008972987526
7,0.0,0.18257418583505536,0.0,0.0,0.0,0.22360679774997896,0.22360679774997896,0.0,0.0
8,0.0,0.0,0.0,0.0,0.14907119849998599,0.2886751345948129,0.0,0.0,0.0
9,0.07106690545187015,0.09622504486493764,0.0,0.11785113019775793,0.0,0.11785113019775793,0.3535533905932738,0.0,0.15713484026367722
10,0.11605177063713189,0.15713484026367722,0.0,0.19245008972987526,0.0,0.19245008972987526,0.19245008972987526,0.1360827634879543,0.12830005981991682
11,0.0,0.13608276348795434,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.21081851067789195,0.0778498944161523,0.0,0.1333333333333333,0.2581988897471611,0.2581988897471611,0.0,0.0
14,0.05598925109558543,0.07580980435789035,0.0,0.09284766908852593,0.0,0.09284766908852593,0.09284766908852593,0.06565321642986127,0.061898446059017294
15,0.0,0.17817416127494962,0.0,0.0,0.0,0.2182178902359924,0.2182178902359924,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.11009637651263607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.11785113019775793,0.0,0.0,0.0,0.43301270189221935,0.14433756729740646,0.0,0.0
