de.en,1,2,3,4,5,6,7,8,9
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.11538461538461539,0.09090909090909091,0.03571428571428571,0.047619047619047616,0.0,0.047619047619047616,0.047619047619047616,0.13043478260869565,0.08
3,0.25,0.07142857142857142,0.1111111111111111,0.0,0.05,0.0,0.0,0.0,0.0
4,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.1111111111111111,0.15384615384615385,0.0,0.06666666666666667,0.0,0.0,0.0,0.0
6,0.15,0.0,0.15,0.06666666666666667,0.043478260869565216,0.0,0.0,0.0,0.10526315789473684
7,0.0,0.1,0.0,0.0,0.0,0.125,0.125,0.0,0.0
8,0.0,0.0,0.0,0.0,0.09090909090909091,0.14285714285714285,0.0,0.0,0.0
9,0.03571428571428571,0.043478260869565216,0.0,0.047619047619047616,0.0,0.047619047619047616,0.15789473684210525,0.0,0.08
10,0.03225806451612903,0.038461538461538464,0.0,0.041666666666666664,0.0,0.041666666666666664,0.041666666666666664,0.07407407407407407,0.034482758620689655
11,0.0,0.07142857142857142,0.0,0.0,0.0,0.08333333333333333,0.08333333333333333,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.07142857142857142,0.05263157894736842,0.0,0.05,0.08333333333333333,0.08333333333333333,0.0,0.0
14,0.03333333333333333,0.04,0.0,0.043478260869565216,0.0,0.043478260869565216,0.043478260869565216,0.037037037037037035,0.03571428571428571
15,0.0,0.043478260869565216,0.0,0.0,0.0,0.047619047619047616,0.047619047619047616,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.058823529411764705,0.0,0.0,0.0,0.23076923076923078,0.06666666666666667,0.0,0.0
