de.fr,1,2,3,4,5,6,7,8,9,10,11,12
1,0.5653337710833067,0.24618298195866545,0.36625993701661486,0.0,0.050251890762960605,0.251259453814803,0.0,0.16724840200141816,0.13636363636363635,0.1348399724926484,0.19462473604038075,0.0
2,0.0472455591261534,0.07715167498104597,0.16695677422593647,0.1091089451179962,0.06299407883487121,0.06299407883487121,0.0,0.052414241836095915,0.05698028822981897,0.0,0.0,0.0944911182523068
3,0.3572172541558801,0.0,0.22541740866685814,0.0,0.13608276348795434,0.13608276348795434,0.0,0.056613851707229795,0.0,0.0,0.15811388300841897,0.0
4,0.11058146711617285,0.12038585308576923,0.16282240225645908,0.08512565307587487,0.049147318718299055,0.049147318718299055,0.06950480468569159,0.08178608201095308,0.08891084489487741,0.0659380473395787,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.15811388300841897,0.19364916731037085,0.2793721183078313,0.0,0.10540925533894598,0.10540925533894598,0.07453559924999299,0.08770580193070293,0.14301938838683884,0.07071067811865474,0.0408248290463863,0.07905694150420949
8,0.11058146711617285,0.06019292654288461,0.09769344135387545,0.0,0.049147318718299055,0.0,0.06950480468569159,0.0,0.044455422447438706,0.0659380473395787,0.0761386987626881,0.0
9,0.254000254000381,0.2073903389460851,0.2804963567266073,0.0,0.08466675133346035,0.1693335026669207,0.0,0.10567049305145206,0.11487593716012255,0.11359236684941296,0.09837387536759296,0.0
10,0.05103103630798287,0.08333333333333334,0.04508348173337163,0.0,0.0,0.06804138174397717,0.0,0.056613851707229795,0.06154574548966636,0.0,0.0,0.0
11,0.20412414523193148,0.05555555555555555,0.2705008904002297,0.0,0.0,0.13608276348795434,0.06415002990995841,0.07548513560963972,0.041030496993110906,0.06085806194501844,0.17568209223157663,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.049029033784546004,0.08006407690254358,0.043314808182421005,0.0,0.0,0.0,0.0,0.05439282932204212,0.05913123959890826,0.0,0.05063696835418333,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.1976423537605237,0.0,0.2444506035193524,0.0,0.0,0.15811388300841897,0.07453559924999299,0.08770580193070293,0.0,0.0,0.1632993161855452,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.31622776601683794,0.12909944487358055,0.3142936330963102,0.0,0.0,0.26352313834736496,0.0,0.17541160386140586,0.09534625892455921,0.0,0.20412414523193148,0.0
21,0.0,0.0,0.039043440472151525,0.0,0.05892556509887897,0.05892556509887897,0.0,0.0,0.0,0.0,0.04564354645876384,0.0
22,0.12309149097933272,0.10050378152592121,0.2174908991308148,0.0,0.04103049699311091,0.12309149097933274,0.0,0.0682788741998919,0.07422696190252055,0.11009637651263607,0.06356417261637282,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0816496580927726,0.0
24,0.2211629342323457,0.12038585308576923,0.1953868827077509,0.0,0.0,0.09829463743659811,0.13900960937138318,0.04089304100547654,0.044455422447438706,0.1318760946791574,0.1522773975253762,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.15309310892394862,0.0,0.18033392693348652,0.0,0.0,0.13608276348795434,0.09622504486493763,0.056613851707229795,0.0,0.0,0.15811388300841897,0.0
27,0.036860489038724284,0.0,0.0,0.0,0.049147318718299055,0.0,0.06950480468569159,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,0.12499999999999997,0.20412414523193148,0.16564728911226984,0.0,0.08333333333333333,0.16666666666666666,0.0,0.1386750490563073,0.1507556722888818,0.0,0.0,0.0
32,0.15000000000000002,0.0,0.08834522085987727,0.057735026918962595,0.1333333333333334,0.03333333333333335,0.0,0.027735009811261462,0.0,0.0,0.025819888974716116,0.0
33,0.21320071635561041,0.0,0.3767052874784089,0.0,0.1421338109037403,0.1421338109037403,0.0,0.05913123959890826,0.0,0.0,0.11009637651263607,0.0
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,0.22097086912079608,0.07216878364870323,0.23426064283290915,0.10206207261596577,0.05892556509887897,0.1767766952966369,0.08333333333333333,0.04902903378454601,0.0,0.0,0.09128709291752768,0.0
36,0.03768891807222045,0.0,0.0,0.08703882797784893,0.15075567228888181,0.20100756305184242,0.0,0.0,0.09090909090909091,0.0,0.0,0.0
37,0.0,0.0,0.0,0.18257418583505536,0.0,0.10540925533894598,0.0,0.0,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
