de.fr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1,0.06917144638660747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.13483997249264842,0.337099931231621,0.0,0.09999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06454972243679027,0.0,0.09325048082403138
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.08058229640253803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049629166698546515,0.0,0.07412493166611013,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.048112522432468816,0.08333333333333334,0.0,0.09128709291752768,0.0,0.05360562674188975,0.0,0.0,0.05773502691896258,0.12909944487358055,0.0,0.0,0.0,0.0
7,0.09534625892455924,0.0,0.0,0.0,0.05270462766947299,0.09128709291752768,0.0,0.0,0.0,0.058722021951470346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.06428243465332249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08058229640253803,0.0,0.04264014327112208,0.0,0.0,0.0,0.03768891807222045,0.0
9,0.08703882797784893,0.0,0.0,0.0,0.048112522432468816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.2849014411490949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1091089451179962,0.0,0.0
11,0.0,0.2842676218074806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13608276348795434,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.17407765595569785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.11396057645963795,0.0,0.0,0.0,0.0629940788348712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.10830607221477646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033351867298253506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
