fr.en,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1,0.625,0.2222222222222222,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.058823529411764705,0.0,0.0,0.29411764705882354,0.03571428571428571,0.0,0.25,0.26666666666666666
2,0.21428571428571427,0.64,0.075,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.0,0.1282051282051282,0.0,0.0,0.1111111111111111,0.05714285714285714,0.0,0.1875,0.08
3,0.19047619047619047,0.06666666666666667,0.3076923076923077,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.12903225806451613,0.0,0.0,0.16666666666666666,0.0,0.0,0.07407407407407407,0.2
4,0.0,0.034482758620689655,0.14285714285714285,0.0,0.0,0.0,0.0,0.04,0.2,0.03571428571428571,0.03125,0.0,0.0,0.0,0.04,0.0,0.0,0.0
5,0.0,0.03125,0.09375,0.0,0.0,0.0,0.0,0.03571428571428571,0.125,0.06666666666666667,0.058823529411764705,0.0,0.0,0.0,0.03571428571428571,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0
7,0.045454545454545456,0.07142857142857142,0.14285714285714285,0.0,0.0,0.0,0.07692307692307693,0.0,0.3333333333333333,0.03571428571428571,0.06451612903225806,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.0
8,0.07407407407407407,0.0,0.05555555555555555,0.10526315789473684,0.3888888888888889,0.125,0.030303030303030304,0.03225806451612903,0.07142857142857142,0.0,0.05405405405405406,0.08333333333333333,0.125,0.08695652173913043,0.0,0.0,0.06451612903225806,0.1
9,0.0,0.0,0.0,0.0,0.0,0.0,0.2962962962962963,0.1,0.06896551724137931,0.125,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.029411764705882353,0.0,0.047619047619047616,0.0,0.06896551724137931,0.38095238095238093,0.0,0.14285714285714285,0.09090909090909091,0.0,0.0,0.0,0.03571428571428571,0.047619047619047616,0.0,0.0
11,0.0,0.0,0.03571428571428571,0.0,0.0,0.0,0.08695652173913043,0.2777777777777778,0.05,0.13043478260869565,0.07142857142857142,0.0,0.0,0.0,0.045454545454545456,0.06666666666666667,0.0,0.0
12,0.10526315789473684,0.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.043478260869565216,0.29411764705882354,0.08,0.14814814814814814,0.058823529411764705,0.0,0.13333333333333333,0.043478260869565216,0.0625,0.08695652173913043,0.16666666666666666
13,0.0,0.0,0.0392156862745098,0.0,0.0,0.0,0.0425531914893617,0.175,0.046511627906976744,0.3157894736842105,0.125,0.0,0.0,0.0,0.044444444444444446,0.05263157894736842,0.0,0.0
14,0.20689655172413793,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.2857142857142857,0.10344827586206896,0.0,0.19230769230769232,0.02702702702702703,0.0,0.08333333333333333,0.21739130434782608
15,0.03571428571428571,0.02857142857142857,0.0,0.0,0.0,0.0,0.030303030303030304,0.06666666666666667,0.0,0.06060606060606061,0.02631578947368421,0.0,0.0,0.0,0.6842105263157895,0.0,0.06451612903225806,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.23529411764705882,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.21739130434782608,0.12903225806451613,0.05714285714285714,0.0,0.0,0.0,0.0,0.0,0.07407407407407407,0.0,0.05555555555555555,0.0,0.0,0.2,0.06896551724137931,0.0,0.6,0.10526315789473684
19,0.23529411764705882,0.07692307692307693,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.14814814814814814,0.0,0.0,0.21428571428571427,0.0,0.0,0.08695652173913043,0.75
20,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0
