de.fr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,0.0,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.1,0.14285714285714285,0.047619047619047616,0.0,0.0,0.0
3,0.0,0.058823529411764705,0.0,0.05263157894736842,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.0,0.038461538461538464,0.0,0.0,0.08,0.0,0.0,0.0
4,0.0,0.08108108108108109,0.0,0.09090909090909091,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03125,0.0,0.03333333333333333,0.0,0.0,0.03333333333333333,0.0625,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0625,0.027777777777777776,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.034482758620689655,0.0,0.034482758620689655,0.0,0.0,0.0,0.0,0.037037037037037035,0.0,0.0,0.0
7,0.05263157894736842,0.02564102564102564,0.05263157894736842,0.14285714285714285,0.17647058823529413,0.037037037037037035,0.0625,0.0,0.0,0.0,0.034482758620689655,0.11764705882352941,0.03125,0.0,0.03125,0.0,0.0,0.0,0.0,0.06896551724137931,0.13333333333333333,0.0,0.0
8,0.0,0.029411764705882353,0.0,0.05555555555555555,0.15384615384615385,0.09523809523809523,0.0,0.10526315789473684,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.13043478260869565,0.0,0.0,0.13043478260869565,0.0,0.15384615384615385,0.0
9,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.07142857142857142,0.045454545454545456,0.0,0.2,0.0,0.0,0.0,0.037037037037037035,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.3333333333333333,0.0625,0.1111111111111111,0.2857142857142857,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.047619047619047616,0.0,0.0,0.047619047619047616,0.0,0.1,0.0
11,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.025,0.05,0.041666666666666664,0.0,0.03571428571428571,0.125,0.0,0.0,0.05555555555555555,0.19230769230769232,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03225806451612903,0.058823529411764705,0.0,0.0
13,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.05405405405405406,0.11764705882352941,0.09523809523809523,0.0,0.038461538461538464,0.14285714285714285,0.0,0.0,0.0,0.07407407407407407,0.058823529411764705,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,0.0,0.034482758620689655,0.06666666666666667,0.0,0.0
15,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.047619047619047616,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.0,0.17391304347826086,0.0,0.0,0.038461538461538464,0.0,0.06666666666666667,0.0
17,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.2,0.05,0.07692307692307693,0.18181818181818182,0.0,0.0,0.0,0.0,0.037037037037037035,0.0,0.04,0.36363636363636365,0.0,0.04,0.0,0.07142857142857142,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2727272727272727,0.1,0.0,0.0,0.0,0.0
20,0.03333333333333333,0.02,0.03333333333333333,0.06060606060606061,0.0,0.08333333333333333,0.037037037037037035,0.05714285714285714,0.07142857142857142,0.0,0.05128205128205128,0.07142857142857142,0.023255813953488372,0.027777777777777776,0.07317073170731707,0.0,0.13513513513513514,0.0,0.07692307692307693,0.2727272727272727,0.037037037037037035,0.06896551724137931,0.0
