de.en,1,2,3,4,5,6,7,8
1,0.03333333333333333,0.0,0.024390243902439025,0.0,0.0,0.0,0.12,0.04878048780487805
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15625
3,0.045454545454545456,0.0,0.0,0.0,0.0,0.041666666666666664,0.05263157894736842,0.06060606060606061
4,0.2,0.0,0.0,0.0,0.0,0.13043478260869565,0.0,0.125
5,0.21739130434782608,0.058823529411764705,0.05405405405405406,0.058823529411764705,0.0,0.1111111111111111,0.08695652173913043,0.05263157894736842
6,0.0,0.06666666666666667,0.027777777777777776,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.10344827586206896,0.0,0.0,0.0,0.0,0.0967741935483871,0.03571428571428571,0.023255813953488372
9,0.07407407407407407,0.0,0.05263157894736842,0.0,0.0,0.06896551724137931,0.0,0.05128205128205128
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
