de.en,1,2,3,4,5,6,7,8
1,0.0545544725589981,0.0,0.044194173824159216,0.0,0.0,0.0,0.2581988897471611,0.1750350105035012
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3175536744149779
3,0.09759000729485333,0.0,0.0,0.0,0.0,0.09999999999999998,0.11547005383792514,0.25048971643405976
4,0.445435403187374,0.0,0.0,0.0,0.0,0.27386127875258304,0.0,0.4001633653325206
5,0.41403933560541256,0.09534625892455924,0.11180339887498948,0.11180339887498948,0.0,0.21213203435596423,0.1632993161855452,0.17712297710801903
6,0.0,0.09090909090909091,0.10660035817780521,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.34156502553198664,0.0,0.0,0.0,0.0,0.24999999999999994,0.05773502691896257,0.12524485821702988
9,0.1973855084879307,0.0,0.10660035817780521,0.0,0.0,0.13483997249264842,0.0,0.1688801323682996
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
