de.it,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
1,0.36514837167011077,0.09622504486493763,0.06666666666666667,0.14547859349066158,0.0,0.10050378152592121,0.11605177063713189,0.1178511301977579,0.06666666666666667,0.0,0.0,0.2842676218074806,0.21081851067789195,0.0,0.09622504486493763,0.14907119849998599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1421338109037403,0.06666666666666667,0.14547859349066158,0.0,0.1781741612749496,0.16666666666666666,0.0,0.07273929674533079,0.13608276348795434,0.09245003270420486,0.280056016805602,0.23809523809523817
2,0.0,0.43301270189221935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15811388300841897,0.0,0.0,0.11180339887498948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10660035817780521,0.1,0.0,0.0,0.0668153104781061,0.0,0.0,0.1091089451179962,0.0,0.1386750490563073,0.0,0.07142857142857145
3,0.0408248290463863,0.0,0.35777087639996635,0.0,0.0,0.0,0.0,0.0,0.0,0.05590169943749474,0.0,0.047673129462279605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05590169943749474,0.06741998624632421,0.0,0.0,0.0,0.0,0.0
4,0.19364916731037085,0.0,0.0,0.07715167498104596,0.0,0.0,0.06154574548966636,0.0,0.07071067811865475,0.17677669529663687,0.0,0.0753778361444409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09901475429766741,0.05050762722761055
5,0.0816496580927726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0816496580927726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.4123930494211613,0.1951800145897066,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.11420804814403215,0.0,0.0,0.3185110286353031,0.3768673314407159,0.0,0.10889310129609417,0.0,0.0,0.0,0.07881104062391006,0.3111879571320709,0.1978141420187361,0.0,0.0,0.13987572123604708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1333662673423161,0.0,0.13650472655798704,0.0,0.16718346377260587,0.1563858105428061,0.0,0.0,0.2553769592276246,0.0,0.17518714874213515,0.26808996093052484
9,0.10540925533894598,0.0,0.05773502691896258,0.0,0.0,0.4351941398892446,0.0,0.0,0.05773502691896258,0.0,0.0,0.0,0.09128709291752768,0.0,0.08333333333333334,0.0,0.0,0.0,0.0,0.0,0.08006407690254358,0.0,0.0,0.0,0.05773502691896258,0.12598815766974242,0.0,0.038575837490522985,0.0,0.0,0.0,0.11785113019775793,0.08006407690254358,0.0,0.04123930494211615
10,0.15430334996209188,0.0,0.033806170189140665,0.11065666703449763,0.0,0.050964719143762556,0.5002164033860247,0.23904572186687872,0.33806170189140666,0.253546276418555,0.0,0.10811249552346708,0.05345224838248487,0.0,0.048795003647426664,0.03779644730092272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036037498507822355,0.033806170189140665,0.07377111135633176,0.0,0.045175395145262566,0.08451542547285165,0.0,0.03688555567816588,0.06900655593423542,0.0,0.09467621366623018,0.07244179326244432
