it.en,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,0.3952847075210474,0.13580361906377783,0.35355339059327373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.17677669529663687,0.09805806756909201,0.15811388300841897,0.0,0.0,0.10206207261596574,0.0,0.18257418583505533
2,0.0,0.036961063547728656,0.0,0.49009802940980346,0.1091089451179962,0.0,0.23570226039551587,0.0,0.16012815380508716,0.0,0.0,0.0,0.0,0.0,0.0,0.048112522432468816,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.1543033499620919,0.16666666666666669,0.16666666666666669,0.0,0.0,0.0,0.0,0.1543033499620919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.1143323900950059,0.3563483225498992,0.09622504486493764,0.1924500897298753,0.0,0.19611613513818407,0.16666666666666666,0.10540925533894598,0.0890870806374748,0.0,0.0,0.0,0.039283710065919304,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.14285714285714285,0.1543033499620919,0.1543033499620919,0.0,0.0,0.0,0.16903085094570328,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33333333333333337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.05725983343138684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18257418583505536,0.22360679774997896,0.07453559924999299,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.05976143046671968,0.03421929554145776,0.0890870806374748,0.0,0.0,0.0,0.0,0.1336306209562122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37062465833055064,0.0,0.0944911182523068,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14907119849998599,0.0,0.0,0.0,0.0,0.08606629658238703
