it.en,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1,0.47193990372426947,0.3198010745334157,0.15990053726670783,0.0,0.0,0.0,0.0,0.033709993123162106,0.07106690545187015,0.07242068243779014,0.1049727762162956,0.0,0.0,0.28603877677367767,0.036563621206356534,0.04767312946227962,0.21541010921383233,0.2279211529192759
2,0.0,0.0,0.07905694150420949,0.0,0.0,0.0,0.08944271909999159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.11952286093343936,0.18898223650461363,0.0472455591261534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046524210519923545,0.0,0.0,0.08451542547285165,0.0,0.0,0.0,0.20203050891044214
4,0.28749445424997294,0.15152288168283165,0.1767766952966369,0.0,0.0,0.0,0.05714285714285714,0.06388765649999399,0.16835875742536846,0.04575090108716775,0.2486823656509969,0.0,0.0,0.27105237087157535,0.0692958928675237,0.0,0.23328473740792174,0.3239695482936233
5,0.14142135623730948,0.33541019662496846,0.05590169943749474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055048188256318034,0.0,0.0,0.0,0.0,0.09999999999999998,0.06454972243679029,0.11952286093343936
6,0.09128709291752768,0.07216878364870323,0.036084391824351615,0.0,0.0,0.0,0.0,0.0,0.04811252243246882,0.0,0.07106690545187015,0.0,0.0,0.06454972243679029,0.0,0.06454972243679029,0.25000000000000006,0.1543033499620919
7,0.27386127875258304,0.14433756729740646,0.14433756729740646,0.0,0.0,0.0,0.0,0.0,0.09622504486493764,0.0,0.1421338109037403,0.0,0.0,0.25819888974716115,0.0,0.0,0.08333333333333334,0.4629100498862757
8,0.25354627641855493,0.1336306209562122,0.13363062095621217,0.0,0.0,0.0,0.0,0.0,0.0890870806374748,0.0,0.1315903389919538,0.0,0.0,0.23904572186687872,0.0,0.0,0.07715167498104596,0.4285714285714285
9,0.03779644730092272,0.11952286093343936,0.05976143046671968,0.0,0.0,0.0,0.0,0.03779644730092272,0.03984095364447979,0.027066598098038335,0.14712247158412492,0.040996003084539386,0.0,0.0,0.040996003084539386,0.05345224838248487,0.03450327796711771,0.06388765649999399
10,0.0,0.0,0.0,0.0,0.0,0.0,0.08164965809277261,0.09128709291752768,0.0,0.06537204504606135,0.1421338109037403,0.0,0.0,0.0,0.09901475429766744,0.0,0.16666666666666669,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.3833259389999639,0.2020305089104422,0.27779194975185795,0.058321184351980436,0.03962144258751637,0.08247860988423225,0.02857142857142857,0.031943828249996996,0.16835875742536846,0.022875450543583874,0.19894589252079753,0.0,0.08247860988423225,0.27105237087157535,0.03464794643376185,0.0,0.17496355305594133,0.3779644730092272
13,0.0,0.04287464628562721,0.08574929257125441,0.0,0.0,0.0,0.0,0.05423261445466404,0.05716619504750295,0.03883678186903087,0.04222003309207491,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.09166984970282112
14,0.06454972243679027,0.15309310892394865,0.15309310892394862,0.0,0.0,0.0,0.0,0.06454972243679027,0.06804138174397717,0.04622501635210243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.09999999999999998,0.0,0.15811388300841897,0.0,0.0,0.0,0.0,0.0,0.10540925533894598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16903085094570328
16,0.0,0.0,0.08111071056538126,0.0,0.0,0.0,0.0,0.0512989176042577,0.10814761408717503,0.0734718358370645,0.07987230638308716,0.05564148840746571,0.0,0.0,0.11128297681493142,0.0,0.0,0.0
17,0.0,0.0,0.06681531047810609,0.0,0.0,0.0,0.07559289460184544,0.12677313820927746,0.0890870806374748,0.1513068831672006,0.0657951694959769,0.04583492485141056,0.0,0.0,0.04583492485141056,0.05976143046671968,0.0,0.0
18,0.06741998624632421,0.15990053726670786,0.15990053726670783,0.0,0.0,0.0,0.0,0.06741998624632421,0.07106690545187015,0.04828045495852676,0.0,0.0,0.0,0.0,0.07312724241271307,0.0,0.0,0.0
19,0.3872983346207417,0.15309310892394862,0.20412414523193148,0.11785113019775793,0.08006407690254358,0.16666666666666669,0.0,0.0,0.13608276348795434,0.0,0.10050378152592121,0.0,0.16666666666666669,0.27386127875258304,0.0,0.0,0.1767766952966369,0.3273268353539886
20,0.18650096164806276,0.25802342327107,0.1843024451936214,0.08512565307587487,0.057831493196624034,0.12038585308576923,0.04170288281141495,0.0,0.14744195615489716,0.0,0.07259540086406277,0.0,0.12038585308576923,0.0659380473395787,0.0,0.0,0.08512565307587487,0.15762208124782012
21,0.14638501094227999,0.0,0.11572751247156893,0.0,0.0,0.0,0.2182178902359924,0.2439750182371333,0.10286889997472795,0.24459979523511427,0.2279211529192759,0.0,0.0,0.13801311186847084,0.05292561240249631,0.06900655593423542,0.1336306209562122,0.1649572197684645
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04441155916843276,0.0,0.0,0.0,0.0,0.06726727939963126,0.08770580193070293,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22360679774997896,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.13258252147247765,0.0,0.0,0.0,0.2,0.16770509831248423,0.11785113019775793,0.16012815380508713,0.04351941398892446,0.0,0.0,0.0,0.0,0.07905694150420949,0.0,0.0
26,0.0,0.03686048903872429,0.0,0.0,0.057831493196624034,0.0,0.04170288281141495,0.04662524041201569,0.0,0.0,0.14519080172812554,0.0,0.0,0.0,0.05057217374241737,0.0,0.0,0.07881104062391006
27,0.0,0.0,0.0,0.0,0.16724840200141816,0.0,0.06030226891555273,0.06741998624632421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.09999999999999998,0.0,0.0,0.0,0.0,0.0,0.08944271909999159,0.09999999999999998,0.0,0.07161148740394328,0.1556997888323046,0.0,0.0,0.0,0.10846522890932808,0.0,0.09128709291752768,0.16903085094570328
29,0.0,0.0,0.23717082451262844,0.0,0.0,0.0,0.0,0.0,0.21081851067789195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09999999999999998,0.0,0.07161148740394328,0.0,0.0,0.0,0.0,0.10846522890932808,0.0,0.0,0.0
31,0.0,0.0,0.18749999999999997,0.0,0.0,0.0,0.1414213562373095,0.07905694150420949,0.25,0.11322770341445956,0.3692744729379982,0.08574929257125441,0.0,0.0,0.08574929257125441,0.0,0.07216878364870323,0.0
32,0.10846522890932808,0.0,0.08574929257125441,0.09901475429766744,0.06726727939963126,0.140028008402801,0.09701425001453319,0.21693045781865616,0.05716619504750295,0.2330206912141852,0.08444006618414981,0.0,0.140028008402801,0.07669649888473704,0.058823529411764705,0.07669649888473704,0.04950737714883372,0.09166984970282112
33,0.0,0.0,0.0,0.0,0.0,0.0,0.15118578920369088,0.16903085094570328,0.0,0.1815682598006407,0.0657951694959769,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,0.0,0.05590169943749474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11009637651263607,0.07669649888473704,0.0,0.0,0.0,0.0,0.0,0.0
35,0.05270462766947299,0.04166666666666667,0.0,0.0,0.0,0.0,0.14142135623730953,0.21081851067789195,0.0,0.1887128390240993,0.12309149097933274,0.0,0.0,0.0,0.4001633653325206,0.07453559924999299,0.09622504486493764,0.0
36,0.0,0.0,0.07905694150420949,0.0,0.0,0.0,0.17888543819998318,0.09999999999999998,0.21081851067789195,0.14322297480788657,0.23354968324845687,0.0,0.0,0.0,0.10846522890932808,0.0,0.09128709291752768,0.0
37,0.1732050807568877,0.0,0.22821773229381917,0.0,0.0,0.0,0.0,0.05773502691896257,0.18257418583505539,0.04134491152973615,0.13483997249264842,0.0,0.0,0.1632993161855452,0.12524485821702988,0.0816496580927726,0.10540925533894598,0.1951800145897066
38,0.0,0.0,0.049029033784546004,0.0,0.0,0.0,0.11094003924504582,0.12403473458920847,0.06537204504606135,0.13323467750529827,0.048280454958526765,0.0,0.0,0.0,0.0,0.08770580193070293,0.0,0.0
39,0.0,0.0,0.0,0.0,0.06362847629757777,0.0,0.04588314677411235,0.0512989176042577,0.0,0.0,0.03993615319154358,0.0,0.0,0.0,0.0,0.07254762501100116,0.0,0.0
