it.en,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1,0.23809523809523808,0.1568627450980392,0.07017543859649122,0.0,0.0,0.0,0.0,0.018518518518518517,0.0392156862745098,0.017543859649122806,0.06896551724137931,0.0,0.0,0.11627906976744186,0.018518518518518517,0.02127659574468085,0.14285714285714285,0.07142857142857142
2,0.0,0.0,0.037037037037037035,0.0,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.037037037037037035,0.12903225806451613,0.027777777777777776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02702702702702703,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,0.10526315789473684
4,0.125,0.061224489795918366,0.058823529411764705,0.0,0.0,0.0,0.02040816326530612,0.02127659574468085,0.045454545454545456,0.02,0.0784313725490196,0.0,0.0,0.07894736842105263,0.02127659574468085,0.0,0.08888888888888889,0.08571428571428572
5,0.09090909090909091,0.10714285714285714,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030303030303030304,0.0,0.0,0.0,0.0,0.05263157894736842,0.037037037037037035,0.0625
6,0.06060606060606061,0.05,0.023255813953488372,0.0,0.0,0.0,0.0,0.0,0.02857142857142857,0.0,0.046511627906976744,0.0,0.0,0.03333333333333333,0.0,0.03333333333333333,0.11428571428571428,0.07692307692307693
7,0.1111111111111111,0.08,0.07407407407407407,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.07142857142857142,0.0,0.0,0.14285714285714285,0.0,0.0,0.043478260869565216,0.3
8,0.10526315789473684,0.07692307692307693,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.06896551724137931,0.0,0.0,0.13333333333333333,0.0,0.0,0.041666666666666664,0.2727272727272727
9,0.022222222222222223,0.06,0.018518518518518517,0.0,0.0,0.0,0.0,0.020833333333333332,0.021739130434782608,0.0196078431372549,0.07692307692307693,0.023809523809523808,0.0,0.0,0.020833333333333332,0.024390243902439025,0.02040816326530612,0.02631578947368421
10,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.045454545454545456,0.0,0.04,0.034482758620689655,0.0,0.0,0.0,0.045454545454545456,0.0,0.09090909090909091,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.11627906976744186,0.0784313725490196,0.09615384615384616,0.02564102564102564,0.023255813953488372,0.027777777777777776,0.019230769230769232,0.02,0.06521739130434782,0.018867924528301886,0.09433962264150944,0.0,0.027777777777777776,0.07317073170731707,0.02,0.0,0.08333333333333333,0.10810810810810811
13,0.0,0.02702702702702703,0.02564102564102564,0.0,0.0,0.0,0.0,0.030303030303030304,0.03225806451612903,0.027777777777777776,0.025,0.0,0.0,0.0,0.030303030303030304,0.0,0.0,0.043478260869565216
14,0.04,0.03125,0.06060606060606061,0.0,0.0,0.0,0.0,0.03571428571428571,0.038461538461538464,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.05555555555555555,0.0,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091
