de.en,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,0.2592814894208657,0.12964074471043285,0.051708768999501914,0.11433239009500587,0.30207927000959933,0.0,0.12478354962115544,0.0,0.0,0.16360932300763464,0.0,0.0,0.0,0.12964074471043285,0.06482037235521643
2,0.1543033499620919,0.0,0.0,0.0,0.0,0.20412414523193154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.20203050891044214,0.16116459280507606,0.0,0.0,0.0,0.0,0.0,0.0,0.08498890495051105,0.0,0.0,0.1889822365046136,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.09245003270420486,0.0,0.0,0.0,0.0,0.19611613513818402,0.0,0.0,0.10482848367219183,0.0,0.0,0.0
6,0.1889822365046136,0.1889822365046136,0.0,0.0,0.0,0.0,0.0,0.0,0.17677669529663687,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.15075567228888181,0.0,0.0,0.0,0.0,0.0,0.17677669529663687,0.052999894000318,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.40451991747794525,0.0,0.0,0.0,0.0,0.0,0.0,0.14221363894199318,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.12309149097933275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052999894000318,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0
13,0.0,0.0,0.08362420100070908,0.09245003270420486,0.0,0.0,0.0,0.12403473458920847,0.0,0.02939905160189274,0.0,0.20965696734438366,0.0,0.0,0.0
14,0.0,0.0,0.0,0.13608276348795434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1543033499620919,0.0,0.0,0.0
15,0.0,0.0,0.08703882797784893,0.09622504486493763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10206207261596574,0.0,0.1091089451179962
16,0.30860669992418377,0.0,0.0,0.34020690871988585,0.032686022523030676,0.0,0.14852213144650114,0.0,0.0,0.0,0.0,0.0,0.0,0.23145502494313783,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
