de.en,1,2,3,4,5,6,7
1,0.0,0.08451542547285165,0.12598815766974242,0.0,0.10482848367219183,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.04303314829119352,0.06900655593423542,0.0716114874039433,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0899842541331695,0.0,0.11470786693528087
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.1860521018838127,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.10660035817780521,0.0
10,0.0,0.0,0.0,0.0,0.0,0.12499999999999997,0.0
11,0.0,0.09999999999999998,0.0,0.0,0.0,0.22360679774997896,0.0
12,0.0,0.0,0.0,0.0,0.0,0.1507556722888818,0.21320071635561041
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
