de.fr,1,2,3,4,5,6,7,8,9,10,11
1,0.07692307692307693,0.09523809523809523,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.0
4,0.047619047619047616,0.10714285714285714,0.03225806451612903,0.0,0.05263157894736842,0.0,0.0,0.038461538461538464,0.0,0.0,0.058823529411764705
5,0.07692307692307693,0.23333333333333334,0.0,0.038461538461538464,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0
6,0.07142857142857142,0.0,0.13636363636363635,0.07692307692307693,0.0,0.058823529411764705,0.0,0.0,0.038461538461538464,0.0,0.0
7,0.0625,0.0,0.2857142857142857,0.0,0.15384615384615385,0.1111111111111111,0.0,0.047619047619047616,0.07407407407407407,0.045454545454545456,0.18181818181818182
8,0.0,0.0,0.09523809523809523,0.09090909090909091,0.1,0.06666666666666667,0.0,0.0,0.08695652173913043,0.11764705882352941,0.125
9,0.0,0.0,0.047619047619047616,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.04,0.0,0.07692307692307693,0.11764705882352941,0.06666666666666667,0.10526315789473684,0.12,0.047619047619047616,0.0
11,0.0,0.02631578947368421,0.05263157894736842,0.07407407407407407,0.0,0.13793103448275862,0.25,0.20689655172413793,0.16666666666666666,0.09090909090909091,0.0
12,0.0,0.0,0.03125,0.047619047619047616,0.05,0.08333333333333333,0.09523809523809523,0.07692307692307693,0.4,0.07407407407407407,0.0
