it.fr,1,2,3,4,5,6,7,8,9,10,11
1,0.125,0.125,0.08823529411764706,0.0,0.041666666666666664,0.07142857142857142,0.0,0.03225806451612903,0.02631578947368421,0.03125,0.045454545454545456
2,0.10714285714285714,0.08108108108108109,0.0,0.034482758620689655,0.0,0.030303030303030304,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.03076923076923077,0.013333333333333334,0.013157894736842105,0.03125,0.0,0.014492753623188406,0.0,0.014084507042253521,0.01282051282051282,0.0,0.0
