fr.en,1,2,3,4,5,6,7,8,9,10,11,12,13,14
1,0.2727272727272727,0.0,0.047619047619047616,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.0,0.0,0.0
2,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0
3,0.058823529411764705,0.0,0.5294117647058824,0.06896551724137931,0.0,0.05555555555555555,0.045454545454545456,0.0,0.0,0.06896551724137931,0.05,0.09523809523809523,0.0,0.0
4,0.045454545454545456,0.0,0.06896551724137931,0.5652173913043478,0.0,0.0,0.07692307692307693,0.047619047619047616,0.08695652173913043,0.09090909090909091,0.08333333333333333,0.07692307692307693,0.0,0.17857142857142858
5,0.0,0.0,0.0,0.0,0.6363636363636364,0.0625,0.0,0.0,0.0,0.03571428571428571,0.0,0.0,0.0,0.0
6,0.0,0.0,0.043478260869565216,0.03571428571428571,0.0,0.4166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.038461538461538464,0.06666666666666667,0.0,0.0,0.8461538461538461,0.0,0.05,0.23076923076923078,0.375,0.14285714285714285,0.045454545454545456,0.03571428571428571
9,0.0,0.0,0.0,0.037037037037037035,0.0,0.0,0.0,0.16666666666666666,0.13333333333333333,0.037037037037037035,0.0,0.0,0.0,0.041666666666666664
10,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.047619047619047616,0.06666666666666667,0.5833333333333334,0.034482758620689655,0.05263157894736842,0.047619047619047616,0.05,0.08
11,0.037037037037037035,0.0,0.058823529411764705,0.05128205128205128,0.034482758620689655,0.03571428571428571,0.2222222222222222,0.0,0.07142857142857142,0.782608695652174,0.24,0.1,0.06666666666666667,0.05555555555555555
12,0.0,0.0,0.041666666666666664,0.07142857142857142,0.0,0.0,0.375,0.0,0.05555555555555555,0.25,1.0,0.15789473684210525,0.0,0.038461538461538464
13,0.0,0.0,0.08333333333333333,0.06896551724137931,0.0,0.0,0.15,0.0,0.05263157894736842,0.10714285714285714,0.16666666666666666,0.6428571428571429,0.0,0.037037037037037035
14,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.03333333333333333,0.0,0.0,0.5714285714285714,0.037037037037037035
15,0.0,0.0,0.0,0.15625,0.0,0.0,0.03571428571428571,0.045454545454545456,0.04,0.05714285714285714,0.038461538461538464,0.03571428571428571,0.0,0.6190476190476191
