fr.en,1,2,3,4,5,6,7,8,9,10,11,12,13,14
1,0.4285714285714285,0.0,0.1781741612749496,0.08451542547285164,0.0,0.0,0.0,0.0,0.0,0.07412493166611012,0.0,0.0,0.0,0.0
2,0.0,0.3779644730092272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14433756729740646,0.0,0.0
3,0.20203050891044214,0.0,0.7559289460184545,0.17928429140015903,0.0,0.0944911182523068,0.07715167498104597,0.0,0.0,0.20965696734438366,0.08451542547285165,0.15430334996209194,0.0,0.0
4,0.0944911182523068,0.0,0.1767766952966369,0.7267220926874316,0.0,0.0,0.14433756729740646,0.10206207261596577,0.16666666666666666,0.14708710135363803,0.15811388300841897,0.14433756729740646,0.0,0.2795084971874737
5,0.0,0.0,0.0,0.0,0.7777777777777778,0.1178511301977579,0.0,0.0,0.0,0.06537204504606135,0.0,0.0,0.0,0.0
6,0.0,0.0,0.07856742013183861,0.07453559924999299,0.0,0.5892556509887895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.06804138174397717,0.12909944487358055,0.0,0.0,0.9166666666666669,0.0,0.09622504486493763,0.39629696195060854,0.5477225575051661,0.25000000000000006,0.08703882797784893,0.06454972243679027
9,0.0,0.0,0.0,0.07905694150420949,0.0,0.0,0.0,0.2886751345948129,0.2357022603955158,0.06933752452815364,0.0,0.0,0.0,0.07905694150420949
10,0.0,0.0,0.0,0.14142135623730948,0.0,0.0,0.09128709291752768,0.12909944487358058,0.7378647873726218,0.062017367294604234,0.09999999999999998,0.09128709291752768,0.09534625892455924,0.14142135623730948
11,0.07273929674533079,0.0,0.18144368465060579,0.08606629658238703,0.06415002990995841,0.06804138174397716,0.3888888888888889,0.0,0.12830005981991682,0.9058216273156766,0.42600643361512913,0.2777777777777778,0.11605177063713189,0.08606629658238703
12,0.0,0.0,0.07453559924999299,0.14142135623730948,0.0,0.0,0.5477225575051661,0.0,0.10540925533894598,0.43412157106222965,1.0,0.27386127875258304,0.0,0.07071067811865474
13,0.0,0.0,0.1421338109037403,0.13483997249264842,0.0,0.0,0.26111648393354675,0.0,0.10050378152592121,0.2956561979945413,0.28603877677367767,0.7833494518006403,0.0,0.06741998624632421
14,0.0,0.11396057645963795,0.0,0.0,0.0,0.0,0.0,0.0,0.10050378152592121,0.05913123959890826,0.0,0.0,0.7272727272727273,0.06741998624632421
15,0.0,0.0,0.0,0.23312620206007845,0.0,0.0,0.06019292654288461,0.08512565307587487,0.06950480468569159,0.08178608201095308,0.0659380473395787,0.06019292654288461,0.0,0.746003846592251
