de.it,1,2,3,4,5,6,7,8,9
1,0.08006407690254357,0.05892556509887897,0.05590169943749474,0.15811388300841897,0.08980265101338746,0.0,0.0,0.0,0.0
2,0.2531848417709166,0.14907119849998599,0.28284271247461895,0.09999999999999998,0.05679618342470648,0.0,0.062017367294604234,0.0,0.0
3,0.14484136487558028,0.1421338109037403,0.13483997249264842,0.09534625892455924,0.05415303610738823,0.03993615319154358,0.05913123959890826,0.0,0.0
4,0.07548513560963972,0.11111111111111113,0.10540925533894598,0.14907119849998599,0.1693335026669207,0.031219527052723135,0.0,0.0,0.0
5,0.0,0.10540925533894598,0.0,0.0,0.0,0.0,0.0,0.09325048082403138,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10540925533894598
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.13245323570650439,0.0,0.0,0.0
9,0.07548513560963972,0.11111111111111113,0.10540925533894598,0.07453559924999299,0.12700012700019053,0.18731716231633883,0.04622501635210243,0.0,0.0
10,0.06537204504606135,0.09622504486493764,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0734718358370645,0.0,0.1538967528127731,0.07254762501100116,0.12361284651454937,0.0,0.04499212706658475,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.20672455764868075,0.18257418583505539,0.1732050807568877,0.0,0.0,0.0,0.0,0.0,0.0
14,0.12104550653376046,0.0890870806374748,0.0,0.0,0.0,0.05006261743217588,0.0,0.0,0.0
15,0.14484136487558028,0.0,0.13483997249264842,0.09534625892455924,0.1624591083221647,0.03993615319154358,0.23652495839563303,0.0,0.14301938838683884
16,0.0,0.0,0.0,0.0,0.0,0.06622661785325219,0.19611613513818404,0.0,0.0
17,0.0,0.0,0.0,0.0,0.1624591083221647,0.03993615319154358,0.0,0.12573892269238632,0.14301938838683884
18,0.0,0.0,0.0,0.07071067811865474,0.24096579867074966,0.11846977555181847,0.0,0.13987572123604708,0.17677669529663687
19,0.0,0.0,0.0,0.0,0.0,0.0,0.06933752452815364,0.0,0.11180339887498948
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05976143046671968
21,0.0,0.0,0.05976143046671968,0.0,0.0,0.0,0.0,0.0,0.042257712736425826
22,0.0,0.0,0.05773502691896257,0.0,0.09274777915203367,0.06839855680567693,0.05063696835418333,0.05383819020581655,0.12247448713915889
