de.it,1,2,3,4,5,6,7
1,0.2182178902359924,0.09622504486493764,0.09622504486493764,0.0,0.0,0.0,0.0
2,0.10101525445522107,0.0,0.0,0.06482037235521643,0.0,0.0,0.0
3,0.1781741612749496,0.23570226039551584,0.0,0.0,0.0890870806374748,0.10411584125907071,0.0
4,0.21428571428571427,0.06299407883487121,0.0,0.0,0.0,0.04173919355648411,0.0
5,0.0,0.0890870806374748,0.0,0.0,0.10101525445522107,0.0,0.13363062095621217
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.04622501635210243,0.0,0.10090091909944687,0.052414241836095915,0.21439736214109112,0.0
8,0.0,0.0,0.0,0.0,0.0,0.11805626722019105,0.26726124191242434
9,0.05345224838248487,0.0,0.047140452079103175,0.0,0.0,0.0,0.0
10,0.0,0.07453559924999299,0.14907119849998599,0.1626978433639921,0.0,0.0,0.11180339887498948
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0700140042014005,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.08333333333333333,0.0,0.18190171877724973,0.0,0.0,0.0
