de.it,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,0.02564102564102564,0.0,0.0,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.018867924528301886,0.0,0.05405405405405406,0.0,0.0625,0.0
2,0.07317073170731707,0.09259259259259259,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.06451612903225806,0.05454545454545454,0.11764705882352941,0.04878048780487805,0.0967741935483871,0.0,0.09090909090909091
3,0.08163265306122448,0.13333333333333333,0.0,0.0,0.0,0.0425531914893617,0.022727272727272728,0.0,0.05,0.06349206349206349,0.12,0.061224489795918366,0.075,0.0,0.1
4,0.02564102564102564,0.018518518518518517,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.07407407407407407,0.018867924528301886,0.0,0.0,0.034482758620689655,0.0,0.0
5,0.11428571428571428,0.08,0.0,0.0,0.0,0.029411764705882353,0.03333333333333333,0.0,0.07692307692307693,0.06,0.16666666666666666,0.08571428571428572,0.16,0.0,0.11764705882352941
6,0.07692307692307693,0.03636363636363636,0.0,0.0,0.0,0.08571428571428572,0.0,0.0,0.06896551724137931,0.05660377358490566,0.0,0.0,0.0,0.0,0.0
7,0.02631578947368421,0.038461538461538464,0.02857142857142857,0.0,0.0,0.029411764705882353,0.0,0.0,0.0,0.0392156862745098,0.07692307692307693,0.02702702702702703,0.03571428571428571,0.0,0.05555555555555555
8,0.075,0.09433962264150944,0.02564102564102564,0.0,0.0,0.02631578947368421,0.0,0.0,0.03225806451612903,0.05555555555555555,0.2,0.05,0.06451612903225806,0.0,0.15
9,0.06976744186046512,0.03389830508474576,0.04878048780487805,0.022222222222222223,0.0,0.0,0.0,0.0,0.0,0.01694915254237288,0.05,0.046511627906976744,0.058823529411764705,0.0,0.08333333333333333
10,0.04081632653061224,0.047619047619047616,0.0,0.0851063829787234,0.0,0.021739130434782608,0.0,0.037037037037037035,0.05263157894736842,0.031746031746031744,0.04,0.02040816326530612,0.025,0.0,0.03333333333333333
11,0.044444444444444446,0.08771929824561403,0.047619047619047616,0.021739130434782608,0.0,0.023809523809523808,0.0,0.0,0.02857142857142857,0.05172413793103448,0.15789473684210525,0.045454545454545456,0.05714285714285714,0.0,0.17391304347826086
12,0.07894736842105263,0.05660377358490566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018518518518518517,0.06666666666666667,0.05263157894736842,0.06896551724137931,0.0,0.05
