de.it,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,0.05976143046671968,0.0,0.0,0.057353933467640436,0.0,0.0,0.0,0.0,0.0,0.050507627227610534,0.0,0.11180339887498948,0.0,0.1178511301977579,0.0
2,0.27888667551135854,0.3240906080438345,0.0,0.0,0.0,0.08466675133346035,0.0,0.0,0.10286889997472795,0.13468700594029479,0.2672612419124244,0.29814239699997197,0.41316712200642336,0.0,0.18257418583505539
3,0.26398183867422736,0.3123475237772124,0.0,0.0,0.0,0.05609927134532144,0.03005565448891441,0.0,0.0681598176590997,0.11155268706329007,0.2361125344403821,0.2963188789948769,0.3790523836283952,0.0,0.16129556770910236
4,0.05976143046671968,0.044194173824159244,0.0,0.0,0.0,0.0,0.1360827634879543,0.0,0.1543033499620919,0.10101525445522107,0.0,0.0,0.04767312946227962,0.0,0.0
5,0.3194382824999699,0.2834733547569206,0.0,0.0,0.0,0.06788442333021306,0.07273929674533079,0.0,0.1649572197684645,0.16198477414681164,0.2857142857142857,0.35856858280031806,0.560611910581388,0.0,0.1951800145897066
6,0.16035674514745463,0.07905694150420954,0.0,0.0,0.0,0.17038855027411945,0.0,0.0,0.13801311186847084,0.18070158058105024,0.0,0.0,0.0,0.0,0.0
7,0.06388765649999399,0.09449111825230687,0.059028133610095526,0.0,0.0,0.06788442333021306,0.0,0.0,0.0,0.10798984943120776,0.14285714285714285,0.11952286093343936,0.2038588765750502,0.0,0.0975900072948533
8,0.15289415743128767,0.30151134457776385,0.09417632186960222,0.0,0.0,0.05415303610738823,0.0,0.0,0.0657951694959769,0.1292191476761844,0.3418817293789138,0.19069251784911848,0.3252462512726967,0.0,0.23354968324845687
9,0.264575131106459,0.1956559480312317,0.10476454436543672,0.07254762501100116,0.0,0.0,0.0,0.0,0.0,0.06388765649999399,0.16903085094570328,0.28284271247461895,0.3618136134933163,0.0,0.1732050807568877
10,0.07207499701564471,0.07995026863335397,0.0,0.17292861596651868,0.0,0.038291979053374184,0.0,0.07106690545187015,0.09304842103984709,0.06091449038731726,0.08058229640253803,0.0674199862463242,0.1149919149152138,0.0,0.05504818825631802
11,0.07968190728895957,0.235702260395516,0.11043152607484655,0.15294382258037453,0.0,0.04233337566673018,0.0,0.0,0.051434449987363975,0.10101525445522108,0.2672612419124244,0.14907119849998599,0.2542566904654913,0.0,0.3042903097250923
12,0.2253744679276044,0.20833333333333345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.1259881576697424,0.21081851067789195,0.26967994498529685,0.0,0.08606629658238703
