de.it,1,2,3,4,5,6,7,8,9,10,11,12,13
1,0.0,0.14907119849998599,0.1421338109037403,0.15713484026367722,0.29814239699997197,0.18257418583505539,0.0,0.21081851067789195,0.0,0.0,0.0,0.21320071635561047,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.14433756729740646,0.09128709291752768,0.08703882797784893,0.19245008972987526,0.0,0.07453559924999299,0.0,0.12909944487358055,0.0,0.0,0.0,0.0,0.0
4,0.0,0.6708203932499369,0.10660035817780521,0.1178511301977579,0.0,0.09128709291752767,0.0,0.15811388300841897,0.0,0.0,0.0,0.0,0.0
5,0.0,0.07669649888473704,0.43876345447627835,0.16169041669088866,0.0,0.06262242910851494,0.0,0.10846522890932808,0.05423261445466404,0.0,0.0,0.0,0.0
6,0.0,0.18257418583505536,0.17407765595569785,0.3849001794597505,0.0,0.14907119849998599,0.0,0.2581988897471611,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.18257418583505536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.3999999999999999,0.0816496580927726,0.0,0.0,0.0,0.0,0.0,0.19069251784911848,0.0
9,0.0,0.0,0.0,0.0,0.15811388300841897,0.3872983346207417,0.0,0.0,0.0,0.0,0.0,0.15075567228888181,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.9128709291752769,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.15811388300841897,0.15075567228888181,0.16666666666666666,0.0,0.12909944487358055,0.0,0.6708203932499369,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4949747468305832,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07905694150420949,0.294174202707276,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6708203932499369,0.0,0.0
15,0.0,0.0,0.0,0.0,0.21081851067789195,0.08606629658238703,0.0,0.0,0.07453559924999299,0.0,0.0,0.6030226891555273,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4472135954999579
