de.it,1,2,3,4,5,6,7,8,9,10,11,12,13,14
1,0.6063390625908325,0.0,0.19611613513818402,0.20412414523193148,0.35355339059327373,0.041959067914834475,0.0,0.0,0.0,0.0,0.0,0.24333213169614376,0.08333333333333333,0.08574929257125441
2,0.12126781251816648,0.0,0.0,0.0,0.1178511301977579,0.0,0.0,0.0,0.0,0.0,0.0,0.24333213169614376,0.08333333333333333,0.08574929257125441
3,0.12964074471043285,0.0,0.0,0.1091089451179962,0.0629940788348712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.12478354962115544,0.0,0.06726727939963126,0.0700140042014005,0.040422604172722164,0.028783683125170205,0.0,0.0,0.0,0.0,0.0,0.05564148840746571,0.05716619504750295,0.0
5,0.0,0.0,0.0,0.0,0.07453559924999299,0.0,0.0,0.0,0.0,0.0,0.0,0.1025978352085154,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.12964074471043285,0.0,0.0,0.1091089451179962,0.1259881576697424,0.0,0.0,0.0,0.0,0.0,0.17342199390482396,0.08671099695241198,0.0890870806374748,0.09166984970282112
8,0.1626978433639921,0.0,0.0,0.0,0.0,0.037529331252040096,0.0,0.0,0.1348399724926484,0.09534625892455924,0.0,0.0,0.0,0.0
9,0.08574929257125441,0.0,0.1386750490563073,0.0,0.08333333333333333,0.029669541454846352,0.0,0.0,0.0,0.0,0.0,0.057353933467640436,0.05892556509887897,0.06063390625908324
10,0.30678599553894814,0.0,0.12403473458920847,0.06454972243679027,0.18633899812498247,0.05307448924342755,0.05976143046671968,0.0,0.047673129462279605,0.0,0.0512989176042577,0.1025978352085154,0.05270462766947299,0.05423261445466404
11,0.09901475429766744,0.0,0.0,0.0,0.09622504486493763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.140028008402801,0.0,0.0,0.11785113019775793,0.06804138174397717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23570226039551587,0.24253562503633297
14,0.17149858514250882,0.0,0.0,0.14433756729740646,0.041666666666666664,0.029669541454846352,0.0,0.0,0.0,0.0,0.0,0.057353933467640436,0.05892556509887897,0.0
15,0.19026059766179762,0.09245003270420486,0.0,0.08006407690254358,0.04622501635210243,0.0,0.0,0.0,0.05913123959890826,0.08362420100070908,0.0,0.0,0.0,0.0
16,0.21938172723813917,0.0,0.0,0.12309149097933272,0.035533452725935076,0.0,0.0,0.0,0.0,0.0,0.09782319760890368,0.04891159880445184,0.0,0.0
17,0.37962830118264823,0.0,0.0,0.09128709291752768,0.15811388300841897,0.0,0.0,0.0,0.0674199862463242,0.09534625892455924,0.07254762501100116,0.07254762501100116,0.0,0.0
18,0.17503501050350123,0.0,0.0,0.11785113019775793,0.034020690871988585,0.0,0.0545544725589981,0.0,0.0,0.0,0.1404878717372541,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.17712297710801903,0.0,0.1432229748078866,0.07453559924999299,0.17213259316477406,0.030642570651794796,0.0,0.0,0.05504818825631802,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0936585811581694,0.0,0.0,0.0
22,0.3834824944236852,0.0,0.12403473458920847,0.2581988897471611,0.14907119849998599,0.0,0.0,0.0,0.0,0.0,0.2051956704170308,0.0,0.0,0.0
