fr.en,1,2,3,4
1,0.4444444444444444,0.07692307692307693,0.1,0.08
2,0.03571428571428571,0.4090909090909091,0.0,0.07142857142857142
3,0.125,0.0,0.4,0.0
4,0.14285714285714285,0.04,0.0,0.47058823529411764
